Gene,Time_1.0,Time_2.0,Time_3.0,Time_4.0,Time_5.0,Time_6.0,Time_7.0,Time_8.0,Time_9.0,Time_10.0,Time_11.0,Time_12.0,Time_13.0,Time_14.0,Time_15.0,Time_16.0,Time_17.0,Time_18.0,Time_19.0,Time_20.0,Time_21.0,Time_22.0,Time_23.0,Time_24.0,Time_25.0,Time_26.0,Time_27.0,Time_28.0,Time_29.0,Time_30.0,Time_31.0,Time_32.0,Time_33.0,Time_34.0,Time_35.0,Time_36.0,Time_37.0,Time_38.0,Time_39.0,Time_40.0,Time_41.0,Time_42.0,Time_43.0,Time_44.0,Time_45.0,Time_46.0,Time_47.0,Time_48.0,Time_49.0,Time_50.0,Time_51.0,Time_52.0,Time_53.0,Time_54.0,Time_55.0,Time_56.0,Time_57.0,Time_58.0,Time_59.0,Time_60.0,Time_61.0,Time_62.0,Time_63.0,Time_64.0,Time_65.0,Time_66.0,Time_67.0,Time_68.0,Time_69.0,Time_70.0,Time_71.0,Time_72.0,Time_73.0,Time_74.0,Time_75.0,Time_76.0,Time_77.0,Time_78.0,Time_79.0,Time_80.0,Time_81.0,Time_82.0,Time_83.0,Time_84.0,Time_85.0,Time_86.0,Time_87.0,Time_88.0,Time_89.0,Time_90.0,Time_91.0,Time_92.0,Time_93.0,Time_94.0,Time_95.0,Time_96.0,Time_97.0,Time_98.0,Time_99.0,Time_100.0,Time_101.0,Time_102.0,Time_103.0,Time_104.0,Time_105.0,Time_106.0,Time_107.0,Time_108.0,Time_109.0,Time_110.0,Time_111.0,Time_112.0,Time_113.0,Time_114.0,Time_115.0,Time_116.0,Time_117.0,Time_118.0,Time_119.0,Time_120.0,Time_121.0,Time_122.0,Time_123.0,Time_124.0,Time_125.0,Time_126.0,Time_127.0,Time_128.0,Time_129.0,Time_130.0,Time_131.0,Time_132.0,Time_133.0,Time_134.0,Time_135.0,Time_136.0,Time_137.0,Time_138.0,Time_139.0,Time_140.0,Time_141.0,Time_142.0,Time_143.0,Time_144.0,Time_145.0,Time_146.0,Time_147.0,Time_148.0,Time_149.0,Time_150.0,Time_151.0,Time_152.0,Time_153.0,Time_154.0,Time_155.0,Time_156.0,Time_157.0,Time_158.0,Time_159.0,Time_160.0
1700025G04Rik,987.0,421.0,473.0,830.0,173.0,35.0,644.0,105.0,80.0,891.0,872.0,626.0,1957.0,1928.0,51.0,126.0,1999.0,1177.0,1518.0,419.0,55.0,652.0,752.0,1566.0,73.0,2220.0,98.0,303.0,55.0,1017.0,649.0,1538.0,2399.0,75.0,67.0,1756.0,1114.0,672.0,1743.0,13.0,1134.0,1640.0,63.0,1160.0,1787.0,63.0,1725.0,1078.0,55.0,1444.0,1600.0,27.0,27.0,361.0,39.0,1121.0,99.0,43.0,98.0,386.0,1490.0,1297.0,1302.0,805.0,1126.0,95.0,67.0,67.0,2898.0,89.0,87.0,1744.0,1208.0,1064.0,881.0,689.0,59.0,1546.0,763.0,114.0,63.0,158.0,122.0,931.0,817.0,151.0,855.0,264.0,1906.0,59.0,43.0,71.0,173.0,1282.0,909.0,507.0,449.0,245.0,817.0,1695.0,938.0,216.0,411.0,587.0,788.0,25.0,51.0,63.0,411.0,104.0,469.0,1368.0,46.0,158.0,261.0,1554.0,95.0,573.0,338.0,293.0,83.0,7.0,126.0,16.0,634.0,170.0,141.0,370.0,628.0,2110.0,544.0,32.0,45.0,609.0,194.0,185.0,759.0,257.0,1276.0,1227.0,634.0,638.0,514.0,702.0,667.0,576.0,474.0,665.0,774.0,241.0,21.0,443.0,16.0,,2484.0,2234.0,3563.0,444.0,1339.0,2732.0
STUM,170.5,100.5,37.5,62.5,106.5,18.5,83.5,16.5,12.5,141.5,125.5,117.5,381.0,384.5,58.0,48.0,304.5,177.0,297.0,87.0,43.0,58.0,112.0,253.5,21.5,325.0,51.5,108.0,38.5,193.0,135.5,96.5,257.5,67.5,36.5,185.5,242.5,74.0,220.0,8.0,156.5,227.5,55.0,99.5,114.0,54.5,227.0,145.0,44.0,63.0,264.5,22.0,9.5,66.5,9.0,117.0,24.5,35.0,21.0,99.0,162.5,177.5,263.0,138.0,243.5,62.0,32.5,44.5,500.0,49.5,38.5,251.5,349.5,198.5,164.5,143.0,52.5,212.5,142.0,61.0,51.0,42.0,66.5,219.5,76.0,35.5,213.5,53.0,471.0,60.5,45.5,44.0,36.5,132.5,224.0,92.5,106.5,64.0,164.0,352.0,229.5,76.0,115.0,71.5,261.0,23.0,54.0,43.5,59.5,55.5,87.0,83.5,27.0,76.5,158.5,384.5,24.5,158.0,116.0,65.5,33.5,7.5,25.5,10.0,137.0,60.0,29.0,102.0,192.5,412.5,153.5,16.5,13.0,148.0,62.5,56.5,151.0,85.5,487.0,358.5,227.5,227.5,154.0,235.0,183.0,184.5,168.0,224.5,142.0,45.0,11.0,133.5,42.5,,267.0,154.0,388.0,40.5,48.0,177.5
Adora1,10.0,12.0,9.0,7.0,8.0,7.0,7.0,5.0,8.0,7.0,14.0,8.0,15.0,15.0,9.0,14.0,11.0,12.0,20.0,7.0,12.0,9.0,8.0,16.0,2.0,12.0,11.0,7.0,7.0,8.0,3.0,12.0,5.0,9.0,5.0,9.0,8.0,11.0,3.0,9.0,11.0,9.0,5.0,7.0,8.0,7.0,11.0,11.0,8.0,9.0,6.0,1.0,11.0,7.0,7.0,10.0,13.0,3.0,13.0,17.0,23.0,7.0,12.0,8.0,9.0,7.0,9.0,8.0,10.0,7.0,12.0,13.0,9.0,4.0,16.0,4.0,4.0,9.0,7.0,3.0,5.0,11.0,9.0,8.0,7.0,7.0,17.0,7.0,9.0,8.0,12.0,11.0,4.0,9.0,8.0,14.0,8.0,13.0,8.0,7.0,14.0,6.0,6.0,12.0,10.0,8.0,9.0,7.0,6.0,6.0,5.0,9.0,9.0,4.0,10.0,7.0,5.0,8.0,12.0,12.0,7.0,7.0,8.0,5.0,26.0,5.0,4.0,9.0,3.0,16.0,16.0,8.0,7.0,7.0,12.0,6.0,10.0,8.0,4.0,10.0,4.0,8.0,7.0,10.0,1.0,5.0,4.0,7.0,11.0,5.0,6.0,5.0,8.0,,13.0,19.0,25.0,5.0,20.0,6.0
Arhgef4,3.0,2.0,19.0,10.0,19.0,11.0,14.0,3.0,11.0,2.0,19.0,15.0,20.0,17.0,13.0,11.0,10.0,9.0,12.0,8.0,11.0,7.0,25.0,29.0,4.0,4.0,17.0,13.0,19.0,10.0,9.0,8.0,6.0,24.0,13.0,11.0,13.0,9.0,4.0,5.0,13.0,2.0,9.0,10.0,12.0,19.0,9.0,21.0,8.0,14.0,11.0,2.0,2.0,10.0,4.0,25.0,12.0,4.0,4.0,8.0,42.0,32.0,10.0,36.0,38.0,9.0,21.0,8.0,7.0,9.0,11.0,13.0,8.0,9.0,21.0,2.0,2.0,32.0,6.0,17.0,13.0,8.0,4.0,6.0,6.0,4.0,47.0,5.0,12.0,9.0,9.0,8.0,9.0,14.0,10.0,8.0,7.0,14.0,11.0,10.0,8.0,1.0,3.0,4.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,16.0,9.0,8.0,8.0,8.0,3.0,7.0,2.0,6.0,6.0,1.0,5.0,3.0,27.0,13.0,7.0,8.0,15.0,9.0,6.0,6.0,3.0,5.0,7.0,2.0,5.0,9.0,10.0,9.0,10.0,9.0,10.0,14.0,5.0,7.0,8.0,10.0,10.0,3.0,3.0,9.0,8.0,,9.0,4.0,16.0,1.0,7.0,10.0
Macir,131.90697674418604,68.60465116279072,34.44186046511628,37.66279069767441,61.93023255813954,20.75581395348837,45.89534883720931,13.662790697674422,13.093023255813954,97.43023255813952,92.8488372093023,79.52325581395348,250.89534883720927,250.36046511627902,24.27906976744186,27.5,190.3953488372093,107.69767441860463,194.1046511627907,61.8139534883721,29.97674418604652,25.23255813953488,80.55813953488374,165.7674418604651,11.16279069767442,215.45348837209306,25.5,41.32558139534884,30.581395348837205,119.09302325581396,90.58139534883722,69.08139534883722,146.08139534883725,29.825581395348845,28.46511627906977,161.45348837209303,139.46511627906978,35.70930232558139,145.34883720930236,10.383720930232558,111.82558139534882,157.90697674418604,25.337209302325583,96.65116279069768,121.41860465116278,25.73255813953488,122.63953488372093,79.76744186046511,22.25581395348837,90.7906976744186,156.09302325581396,7.279069767441859,13.0,28.5,10.779069767441857,73.44186046511626,18.418604651162795,18.639534883720934,12.825581395348838,38.45348837209303,131.36046511627907,123.82558139534882,122.96511627906975,104.83720930232556,149.53488372093022,24.139534883720934,31.395348837209305,23.453488372093023,224.19767441860466,26.918604651162795,26.69767441860465,157.53488372093022,170.80232558139537,112.02325581395347,106.47674418604653,84.1860465116279,29.430232558139537,156.09302325581396,73.29069767441862,24.593023255813957,24.593023255813957,30.82558139534885,24.104651162790695,120.70930232558143,42.13953488372093,24.069767441860463,133.7674418604651,19.895348837209305,190.5813953488372,21.98837209302325,28.151162790697676,25.20930232558139,28.186046511627904,66.65116279069768,105.3953488372093,37.83720930232559,64.75581395348837,40.39534883720931,60.97674418604651,147.36046511627907,109.58139534883722,32.23255813953487,54.63953488372093,37.88372093023257,106.09302325581396,13.325581395348838,19.25581395348837,19.34883720930232,31.023255813953487,25.40697674418605,38.151162790697676,62.779069767441854,19.29069767441861,39.30232558139536,54.988372093023266,200.4186046511628,13.104651162790695,74.60465116279072,55.5,34.3139534883721,18.69767441860465,8.709302325581397,14.616279069767439,7.302325581395347,87.36046511627907,33.96511627906977,12.255813953488373,47.593023255813954,82.74418604651163,240.26744186046506,65.03488372093025,14.406976744186048,11.72093023255814,59.04651162790697,27.767441860465127,25.40697674418605,61.97674418604651,35.33720930232559,204.5581395348837,172.5581395348837,94.18604651162792,96.24418604651164,63.779069767441854,114.43023255813951,95.81395348837208,91.96511627906975,83.61627906976744,104.69767441860463,92.1511627906977,21.48837209302325,9.779069767441857,71.63953488372093,18.616279069767437,,162.8720930232558,84.88372093023256,301.4767441860465,22.093023255813957,36.651162790697676,174.52325581395345
Dpp10,10.0,12.0,12.0,10.0,7.0,7.0,7.0,4.0,4.0,8.0,16.0,6.0,18.0,8.0,7.0,11.0,8.0,4.0,17.0,5.0,11.0,10.0,16.0,10.0,4.0,11.0,11.0,9.0,5.0,9.0,6.0,9.0,5.0,4.0,9.0,13.0,11.0,3.0,1.0,5.0,6.0,8.0,7.0,9.0,7.0,9.0,8.0,18.0,4.0,7.0,8.0,2.0,5.0,10.0,10.0,11.0,5.0,7.0,11.0,19.0,11.0,12.0,6.0,11.0,7.0,4.0,9.0,12.0,11.0,9.0,4.0,15.0,8.0,13.0,12.0,6.0,12.0,17.0,8.0,16.0,9.0,4.0,5.0,7.0,12.0,4.0,12.0,5.0,10.0,5.0,11.0,12.0,3.0,9.0,14.0,9.0,8.0,8.0,9.0,14.0,4.0,4.0,7.0,10.0,13.0,10.0,4.0,7.0,8.0,6.0,8.0,16.0,10.0,6.0,8.0,7.0,4.0,14.0,4.0,8.0,4.0,3.0,4.0,2.0,26.0,3.0,4.0,6.0,3.0,20.0,10.0,7.0,5.0,9.0,7.0,3.0,6.0,2.0,14.0,7.0,9.0,7.0,9.0,15.0,7.0,9.0,5.0,11.0,5.0,3.0,3.0,3.0,9.0,,8.0,27.0,25.0,6.0,14.0,10.0
Dusp23,13.0,14.0,23.0,18.0,36.0,19.0,18.0,12.0,22.0,14.0,39.0,20.0,33.0,47.0,16.0,23.0,22.0,16.0,38.0,27.0,34.0,25.0,50.0,42.0,9.0,7.0,22.0,27.0,29.0,22.0,9.0,10.0,12.0,38.0,33.0,31.0,23.0,9.0,15.0,15.0,17.0,20.0,29.0,21.0,36.0,30.0,21.0,60.0,29.0,22.0,29.0,3.0,11.0,13.0,11.0,43.0,12.0,19.0,8.0,11.0,62.0,43.0,17.0,64.0,70.0,14.0,40.0,15.0,27.0,15.0,34.0,13.0,20.0,19.0,26.0,21.0,14.0,65.0,16.0,23.0,36.0,26.0,8.0,15.0,19.0,8.0,54.0,11.0,11.0,18.0,23.0,23.0,11.0,30.0,14.0,27.0,26.0,35.0,26.0,16.0,12.0,6.0,8.0,16.0,11.0,17.0,14.0,15.0,27.0,20.0,21.0,29.0,23.0,9.0,12.0,16.0,9.0,9.0,14.0,20.0,12.0,11.0,9.0,9.0,27.0,16.0,5.0,10.0,17.0,25.0,10.0,6.0,7.0,9.0,17.0,13.0,19.0,6.0,14.0,19.0,11.0,12.0,14.0,20.0,13.0,15.0,10.0,25.0,29.0,9.0,16.0,15.0,19.0,,16.0,29.0,26.0,12.0,15.0,14.0
Fzd7,9.0,10.0,6.0,15.0,13.0,13.0,14.0,6.0,8.0,17.0,28.0,9.0,19.0,29.0,19.0,22.0,23.0,13.0,30.0,20.0,13.0,14.0,15.0,25.0,4.0,13.0,17.0,19.0,16.0,14.0,5.0,10.0,17.0,16.0,9.0,17.0,15.0,7.0,14.0,11.0,14.0,16.0,19.0,12.0,23.0,7.0,12.0,29.0,13.0,19.0,10.0,4.0,7.0,11.0,9.0,20.0,10.0,13.0,10.0,14.0,19.0,17.0,9.0,8.0,25.0,13.0,16.0,10.0,19.0,21.0,16.0,13.0,20.0,14.0,19.0,12.0,19.0,17.0,9.0,9.0,4.0,9.0,7.0,17.0,15.0,4.0,20.0,12.0,15.0,22.0,13.0,16.0,2.0,22.0,12.0,24.0,11.0,16.0,7.0,14.0,14.0,4.0,6.0,8.0,14.0,13.0,9.0,13.0,7.0,6.0,14.0,21.0,20.0,10.0,10.0,10.0,16.0,14.0,4.0,15.0,14.0,6.0,7.0,7.0,31.0,10.0,3.0,11.0,13.0,16.0,13.0,6.0,5.0,7.0,11.0,9.0,13.0,12.0,20.0,15.0,9.0,14.0,15.0,6.0,5.0,12.0,9.0,14.0,12.0,4.0,5.0,13.0,4.0,,18.0,29.0,55.0,14.0,23.0,11.0
Hnrnpu,25.0,21.0,18.0,25.0,20.0,8.0,22.0,8.0,12.0,26.0,29.0,24.0,52.0,50.0,16.0,29.0,27.0,24.0,45.0,14.0,25.0,21.0,29.0,48.0,2.0,55.0,37.0,41.0,25.0,28.0,12.0,15.0,20.0,37.0,16.0,35.0,15.0,16.0,17.0,12.0,34.0,25.0,27.0,22.0,26.0,20.0,28.0,25.0,20.0,17.0,16.0,4.0,7.0,15.0,10.0,23.0,9.0,20.0,12.0,25.0,38.0,31.0,30.0,27.0,28.0,25.0,31.0,25.0,36.0,13.0,12.0,14.0,24.0,19.0,21.0,26.0,25.0,33.0,13.0,29.0,18.0,25.0,29.0,19.0,14.0,7.0,41.0,13.0,33.0,27.0,27.0,20.0,8.0,33.0,20.0,12.0,27.0,34.0,43.0,31.0,16.0,5.0,16.0,15.0,21.0,8.0,18.0,16.0,17.0,15.0,11.0,25.0,25.0,14.0,13.0,15.0,12.0,23.0,25.0,30.0,23.0,5.0,12.0,5.0,33.0,27.0,6.0,14.0,26.0,82.0,23.0,15.0,14.0,11.0,26.0,14.0,25.0,13.0,29.0,20.0,20.0,20.0,210.0,197.0,14.0,17.0,10.0,22.0,31.0,15.0,7.0,18.0,20.0,,28.0,24.0,21.0,12.0,45.0,29.0
Ikzf2,12.0,18.0,29.0,5.0,20.0,15.0,15.0,11.0,12.0,13.0,77.0,16.0,48.0,32.0,15.0,26.0,15.0,13.0,27.0,18.0,17.0,11.0,39.0,43.0,1.0,24.0,22.0,24.0,13.0,20.0,7.0,10.0,12.0,31.0,22.0,20.0,20.0,7.0,15.0,8.0,31.0,12.0,22.0,19.0,15.0,22.0,9.0,23.0,13.0,12.0,14.0,3.0,12.0,24.0,8.0,41.0,12.0,22.0,8.0,15.0,47.0,30.0,16.0,24.0,25.0,17.0,26.0,18.0,33.0,17.0,28.0,22.0,12.0,24.0,41.0,31.0,31.0,38.0,14.0,9.0,6.0,9.0,18.0,20.0,8.0,21.0,42.0,8.0,13.0,28.0,13.0,22.0,11.0,20.0,16.0,17.0,30.0,48.0,10.0,15.0,14.0,12.0,9.0,9.0,19.0,11.0,11.0,15.0,6.0,8.0,12.0,22.0,7.0,11.0,12.0,7.0,10.0,15.0,12.0,21.0,17.0,14.0,4.0,10.0,28.0,13.0,5.0,16.0,9.0,21.0,20.0,8.0,2.0,8.0,13.0,6.0,11.0,8.0,23.0,21.0,21.0,14.0,10.0,20.0,13.0,17.0,13.0,18.0,14.0,6.0,9.0,16.0,13.0,,27.0,21.0,33.0,19.0,15.0,28.0
