time,1700025G04Rik,STUM,Adora1,Arhgef4,Macir,Dpp10,Dusp23,Fzd7,Hnrnpu,Ikzf2,Inhbb,Ino80d,Klf7,Klhdc8a,Klhl20,Ly96,Map4k4,Mars2,Mdm4,Pfkfb2,Phlpp1,Plekhb2,Rnf152,Satb2,Tbc1d8,Wdr12,Zbtb41,Zfp648,3425401B19Rik,Ankrd28,Colq,Ppif,Abcg1,DYNLT2A2,Gnl1,Ptchd4,Scaf8,Tagap1,Tbc1d24,Tbp,Tpsb2,BLTP3A,Abra,Ankrd33b,Cdh12,Dap,Ttc33,Abt1,Amph,Cplx2,Gmpr,H4c2,Sox4,Wdr37,Acp1,LRATD1,G2e3,Pfn4,Strn3,Ywhaq,Aff4,Ccdc88a,Ebf1,Ewsr1,Gabra1,Hbq1a,Hnrnph1,Itk,Pes1,Ppp2ca,Trim7,Amotl1,Col5a3,Ets1,Fbxl12os,Fli1,Gm16485,Gm7293,Gramd2a,Kbtbd3,Zfp846,Aptx,Bach2,Ccl21d,Cyp7a1,CIBAR1,Mmp16,Pakap,Pappa,Tmem245,Tmem38b,Zfp292,Atp13a3,Bcl6,Nlrc3,Zbtb20,CDR1,SLY,Slc9a6,CTNND1,Celf2,Chn1,Ctnnd1,Dolpp1,Fam163b,Fam171a1,Gpr158,Ier5l,Kcnh7,Mrrf,Nmi,Nr6a1,Nsmf,Plxdc2,Skida1,Slc2a8,Thnsl1,Uap1l1,Ube2e3,Map3k20,Odad1,Cyp2b13,Cyp2b9,Dyrk1b,Fgf21,Gm16387,Mzf1,Prx,Slc8a2,Zfp607a,Zfp850,Cdk19,Crybg1,Lin28b,MYB,Plagl1,Cdk6,Cpeb2,Fam114a1,Rbm47,Rbpj,Tbc1d1,Clcn3,Gpm6a,Ing2,Proz,Thsd1,Tusc3,Flrt1,Zfand5,Gng12,Nxph1,Peg10,Sftpb,Zfp467,Zfp800,Jcad,Kctd16,Map3k2,Pcdhb22,Nlgn1,Tsc22d2
1.0,987.0,170.5,10.0,3.0,131.90697674418604,10.0,13.0,9.0,25.0,12.0,17.0,4.0,274.0,14.0,24.5,9.666666666666668,2.0,18.0,129.33333333333337,7.0,14.0,7.0,20.0,1051.0,19.0,9.0,20.0,136.5,29.0,7.0,5.0,26.0,13.0,60.0,1161.0,365.0,413.0,4.0,38.5,254.0,20.0,10.0,1946.0,8.0,66.0,7172.0,9.0,202.0,7.0,450.0,41.0,23.666666666666668,22.0,399.0,17.0,14.0,679.0,19.0,367.5,15.0,9.0,11.0,4.0,8.0,29.0,3300.0,12.0,1.0,4251.0,64.0,17.0,26.0,131.0,38.0,13.0,2100.0,8.0,9.5,10.0,736.0,18.0,15.0,10.0,13.0,63.0,18.666666666666668,28.0,20.33333333333333,10.0,17.5,10.0,41.0,13.0,45.0,21.5,237.6428571428571,281.2857142857143,438.6666666666667,109.0,71.66666666666669,10.0,103.0,47.0,21.0,14.0,1022.0,193.0,12.0,35.0,37.33333333333333,33.5,161.0,39.0,179.0,233.66666666666657,10.0,15.0,7.0,2409.0,12.0,983.0,229.0,12.0,12.5,413.5,11.0,34.0,20.0,9.0,807.0,101.5,550.5,2571.0,9.0,4.0,13.0,31.0,58.0,24.0,86.0,10.0,17.0,11.0,56.66666666666666,8.0,12.0,10.0,123.0,14.0,75.28571428571429,6.0,129.66666666666666,13.0,23.5,13.0,10.0,21.0,1373.0,326.0,4.0,277.5,963.0
2.0,421.0,100.5,12.0,2.0,68.60465116279072,12.0,14.0,10.0,21.0,18.0,14.0,8.0,150.0,19.0,15.0,14.0,9.0,23.0,61.333333333333336,15.0,16.0,12.0,12.0,3520.5,17.0,12.0,13.5,62.5,45.0,13.0,6.0,19.0,24.0,47.0,587.5,324.0,295.0,9.0,51.5,264.0,31.0,20.0,872.0,3.0,39.0,1763.0,10.0,78.0,6.0,270.3333333333333,32.0,13.333333333333334,16.0,189.0,13.0,15.5,238.0,15.333333333333334,176.0,19.5,16.0,17.0,2.0,15.0,20.0,273.0,14.0,1.0,1427.0,42.0,34.0,34.0,132.0,33.0,11.0,696.0,14.0,12.0,13.0,376.0,21.0,17.0,7.0,18.0,19.0,22.33333333333333,9.0,20.0,11.0,17.5,13.0,32.0,17.0,47.0,25.5,124.0,145.85714285714286,201.83333333333337,83.0,59.666666666666664,13.0,104.0,40.0,22.0,17.0,560.0,37.0,8.0,26.0,33.66666666666667,20.0,65.0,16.0,114.5,125.0,5.0,17.666666666666668,13.0,1258.0,19.0,591.0,125.0,13.666666666666666,21.0,174.5,17.0,28.0,14.0,9.0,553.0,46.5,359.5,789.0,10.0,14.0,12.75,20.0,18.0,20.33333333333333,28.0,10.0,15.0,6.0,31.666666666666668,9.0,13.0,11.0,39.0,18.0,84.0,8.0,62.0,15.0,28.5,6.0,14.0,28.0,577.0,121.0,13.0,131.5,342.5
3.0,473.0,37.5,9.0,19.0,34.44186046511628,12.0,23.0,6.0,18.0,29.0,23.0,9.0,39.0,20.0,13.0,17.166666666666664,25.0,39.0,29.666666666666668,13.0,37.0,20.0,10.0,754.0,31.0,14.0,15.0,70.5,34.0,5.0,24.0,19.0,21.0,34.0,489.0,14.0,128.0,9.0,62.0,107.0,35.5,29.0,2732.0,7.0,9.0,367.0,36.0,82.0,9.0,307.3333333333333,27.0,13.666666666666666,29.0,108.0,17.0,14.0,112.0,21.0,121.0,20.0,15.0,20.0,3.0,15.0,20.0,39.0,13.0,14.0,2423.0,38.0,47.0,43.0,55.0,5.0,22.0,118.0,15.0,16.5,18.0,183.0,27.0,10.0,4.0,23.0,25.0,26.666666666666668,28.0,21.5,8.0,41.5,9.0,25.0,2.0,55.0,28.0,47.5,51.285714285714285,68.5,15.0,15.666666666666668,18.0,158.0,36.0,43.0,36.0,356.0,44.0,12.0,35.0,26.333333333333325,33.5,31.0,7.0,22.0,133.66666666666669,13.0,26.0,17.0,194.0,41.0,199.5,15.0,19.0,24.0,190.0,21.0,18.0,12.0,15.0,55.0,30.0,147.5,102.0,25.0,14.0,13.25,25.0,49.0,20.666666666666668,65.0,27.0,27.0,9.0,21.33333333333333,5.0,7.0,8.0,18.0,44.0,60.285714285714285,7.0,22.5,25.0,44.0,17.0,20.0,34.0,189.0,84.0,11.0,51.0,123.0
4.0,830.0,62.5,7.0,10.0,37.66279069767441,10.0,18.0,15.0,25.0,5.0,19.0,7.0,149.0,11.0,14.5,15.833333333333336,13.0,13.0,39.33333333333334,10.0,32.0,15.0,10.0,4.5,25.0,18.0,7.5,54.5,11.0,11.0,17.0,13.0,36.0,58.0,762.0,117.0,156.0,8.0,35.5,18.0,33.0,26.0,1013.0,7.0,72.0,1376.0,18.0,76.0,10.0,410.3333333333333,28.0,14.666666666666666,27.0,43.0,18.0,21.0,71.0,16.666666666666668,130.0,18.0,7.0,17.0,6.0,15.0,9.0,442.0,13.0,1.0,1062.0,27.0,33.0,25.0,50.0,14.0,15.0,348.0,10.0,9.0,23.0,98.0,17.0,12.0,9.0,21.0,20.0,24.0,16.0,23.83333333333333,11.0,25.0,12.0,26.0,7.0,33.0,19.5,55.42857142857142,25.428571428571427,114.16666666666669,84.0,11.666666666666664,15.0,260.0,45.0,29.0,26.0,742.0,27.0,13.0,31.0,29.0,28.0,114.0,17.0,29.0,95.6666666666667,15.0,16.0,12.0,169.0,33.0,618.0,52.0,13.0,14.0,145.5,13.0,24.0,20.0,5.0,194.0,44.0,320.5,412.0,24.0,6.0,12.25,15.0,26.0,18.666666666666668,38.0,14.0,14.0,10.0,26.0,1.0,13.0,13.0,33.0,35.0,28.0,7.0,47.333333333333336,16.0,29.0,15.0,18.0,17.0,729.0,43.0,18.0,40.0,62.5
5.0,173.0,106.5,8.0,19.0,61.93023255813954,7.0,36.0,13.0,20.0,20.0,24.0,11.0,39.0,16.0,10.0,23.16666666666667,16.0,19.0,32.33333333333334,9.0,34.0,17.0,25.0,752.5,53.0,30.0,11.0,86.0,64.0,16.0,9.0,22.0,37.0,44.0,435.5,28.0,147.0,13.0,42.5,173.0,44.0,33.0,4380.0,9.0,13.0,4682.0,20.0,77.0,12.0,159.33333333333334,48.0,14.0,29.0,356.0,20.0,21.5,121.0,22.33333333333333,219.5,28.0,13.0,24.0,7.0,34.0,24.0,39.0,11.0,14.0,2490.0,33.0,56.0,51.0,89.0,4.0,16.0,442.0,29.0,18.5,25.0,151.0,27.0,27.0,12.0,15.0,33.0,37.0,45.0,22.83333333333333,13.0,38.0,14.0,21.0,8.0,116.0,29.5,50.92857142857142,121.42857142857144,73.33333333333333,30.0,17.0,11.0,59.0,53.0,40.0,26.0,173.0,49.0,12.0,40.0,28.666666666666668,24.0,38.0,13.0,44.0,80.0,16.0,32.0,15.0,1035.0,37.0,285.5,9.0,24.33333333333333,26.0,157.0,21.0,24.0,21.0,6.0,130.0,48.0,149.5,1812.0,16.0,17.0,12.25,29.0,26.0,28.666666666666668,53.0,17.0,17.0,6.0,48.0,5.0,11.0,10.0,46.0,37.0,113.71428571428572,8.0,16.166666666666668,18.0,48.0,16.0,25.0,44.0,164.0,84.0,28.0,47.0,112.0
6.0,35.0,18.5,7.0,11.0,20.75581395348837,7.0,19.0,13.0,8.0,15.0,11.0,4.0,24.0,19.0,9.0,13.833333333333336,11.0,17.0,18.33333333333333,7.0,31.0,9.0,8.0,751.0,23.0,13.0,15.5,32.0,10.0,8.0,17.0,12.0,22.0,3.0,12.5,7.0,39.0,9.0,49.0,46.0,48.0,20.0,210.5,2.0,6.0,54.0,27.0,41.0,6.0,31.0,25.0,9.333333333333334,10.0,22.0,13.0,8.0,43.0,6.666666666666667,98.0,12.0,15.0,12.0,7.0,19.0,12.0,39.0,13.0,14.0,1548.0,13.0,30.0,16.0,27.0,3.0,9.0,69.0,2.0,7.0,14.0,48.0,27.0,10.0,4.0,13.0,37.0,16.333333333333332,6.0,17.166666666666668,14.0,28.5,10.0,14.0,8.0,29.0,21.5,30.571428571428573,50.42857142857143,32.166666666666664,15.0,5.333333333333332,15.0,29.0,28.0,39.0,31.0,52.0,44.0,8.0,26.0,27.0,23.0,27.0,10.0,9.0,36.0,13.0,28.33333333333333,11.0,52.0,41.0,44.5,7.0,20.0,15.5,72.0,13.0,8.0,11.0,1.0,51.0,15.0,23.0,64.0,22.0,9.0,9.75,16.0,16.0,13.0,65.0,16.0,7.0,13.0,28.666666666666668,2.0,10.0,7.0,15.0,31.0,35.857142857142854,4.0,18.666666666666668,15.0,30.0,9.0,22.0,22.0,56.0,25.0,8.0,40.5,64.0
7.0,644.0,83.5,7.0,14.0,45.89534883720931,7.0,18.0,14.0,22.0,15.0,15.0,11.0,167.0,11.0,14.5,16.166666666666664,22.0,13.0,48.33333333333334,10.0,30.0,18.0,8.0,6.0,28.0,16.0,16.5,55.5,7.0,5.0,14.0,25.0,28.0,45.0,681.0,123.0,167.0,10.0,47.0,43.0,36.0,26.0,1167.0,7.0,47.0,1244.0,28.0,83.0,12.0,364.6666666666667,33.0,18.666666666666668,23.0,45.0,14.0,15.0,110.0,13.666666666666666,103.5,22.5,10.0,16.0,8.0,22.0,26.0,623.0,16.0,1.0,1231.0,40.0,36.0,19.0,47.0,15.0,22.0,397.0,7.0,15.5,34.0,181.0,18.0,19.0,12.0,20.0,14.0,23.666666666666668,12.0,23.83333333333333,17.0,30.5,18.0,26.0,10.0,43.0,28.5,56.71428571428572,71.42857142857143,164.0,50.0,13.666666666666666,16.0,160.0,55.0,34.0,35.0,725.0,42.0,7.0,29.0,25.333333333333325,33.0,104.0,21.0,34.5,122.33333333333329,27.0,14.333333333333334,12.0,225.0,34.0,662.0,40.0,22.0,21.5,182.0,16.0,23.0,26.0,5.0,220.0,46.5,340.0,416.0,25.0,14.0,11.0,20.0,19.0,27.0,47.0,14.0,16.0,7.0,28.33333333333333,5.0,16.0,10.0,21.0,31.0,37.42857142857143,9.0,55.333333333333336,18.0,17.0,8.0,20.5,5.0,692.0,100.0,16.0,38.0,92.0
8.0,105.0,16.5,5.0,3.0,13.662790697674422,4.0,12.0,6.0,8.0,11.0,11.0,5.0,15.0,19.0,9.0,10.166666666666668,13.0,13.0,11.666666666666664,4.0,20.0,16.0,7.0,6.5,17.0,11.0,9.5,12.0,9.0,12.0,13.0,17.0,26.0,9.0,42.0,8.0,19.0,11.0,23.5,17.0,17.5,18.0,16.0,6.0,9.0,11.0,13.0,8.0,8.0,66.33333333333333,14.0,12.0,9.0,4.0,7.0,7.5,9.0,13.666666666666666,17.5,8.0,9.0,7.0,5.0,11.0,10.0,1.0,12.0,1.0,21.0,5.0,23.0,12.0,22.0,11.0,6.0,6.0,6.0,10.5,13.0,55.0,11.0,5.0,5.0,22.0,7.0,15.0,2.0,13.333333333333334,14.0,26.5,10.0,17.0,7.0,17.0,19.0,14.142857142857144,12.857142857142858,32.0,12.0,5.666666666666668,13.0,136.0,8.0,29.0,18.0,92.0,13.0,8.0,28.0,15.0,7.5,13.0,6.0,6.5,33.33333333333333,17.0,6.666666666666667,4.0,41.0,23.0,42.5,12.0,18.0,10.5,26.5,7.0,8.0,8.0,8.0,16.0,6.0,25.5,13.0,16.0,8.0,6.25,16.0,14.0,12.666666666666666,21.0,10.0,14.0,5.0,10.0,3.0,8.0,8.0,14.0,29.0,22.428571428571427,9.0,9.333333333333334,11.0,25.5,11.0,10.0,14.0,60.0,7.0,6.0,41.0,13.0
9.0,80.0,12.5,8.0,11.0,13.093023255813954,4.0,22.0,8.0,12.0,12.0,5.0,3.0,15.0,11.0,5.5,11.333333333333336,20.0,5.0,12.0,8.0,37.0,17.0,11.0,3.0,26.0,3.0,11.0,14.5,8.0,4.0,11.0,7.0,38.0,14.0,37.0,6.0,16.0,4.0,23.0,19.0,31.0,17.0,21.5,4.0,9.0,13.0,20.0,11.0,4.0,67.0,14.0,7.333333333333333,13.0,3.0,14.0,8.5,5.0,9.0,21.5,7.5,4.0,8.0,4.0,20.0,6.0,1.0,11.0,1.0,37.0,9.0,41.0,15.0,17.0,5.0,7.0,7.0,5.0,20.0,26.0,46.0,10.0,13.0,2.0,14.0,4.0,15.0,7.0,14.833333333333334,14.0,31.5,13.0,11.0,8.0,26.0,20.0,15.0,12.428571428571429,36.333333333333336,3.0,5.0,4.0,47.0,20.0,37.0,26.0,75.0,12.0,5.0,24.0,17.333333333333336,8.5,9.0,13.0,7.5,42.333333333333336,23.0,7.666666666666667,12.0,28.0,24.0,43.0,8.0,18.33333333333333,22.0,28.5,10.0,11.0,12.0,1.0,12.0,8.5,36.0,17.0,27.0,10.0,5.25,16.0,5.0,19.33333333333333,25.0,14.0,6.0,8.0,13.333333333333334,2.0,7.0,7.0,15.0,35.0,24.714285714285715,9.0,9.5,7.0,31.0,6.0,15.0,13.0,61.0,4.0,2.0,35.5,13.5
10.0,891.0,141.5,7.0,2.0,97.43023255813952,8.0,14.0,17.0,26.0,13.0,15.0,8.0,106.0,19.0,18.0,13.166666666666664,13.0,28.0,36.66666666666666,10.0,21.0,8.0,13.0,597.5,34.0,14.0,18.0,144.5,14.0,11.0,13.0,27.0,18.0,77.0,961.5,130.0,312.0,13.0,41.0,222.0,31.5,16.0,2363.0,5.0,54.0,10637.0,21.0,179.0,8.0,391.3333333333333,38.0,19.666666666666668,16.0,262.0,15.0,10.5,553.0,19.0,275.5,18.0,13.0,18.0,8.0,17.0,16.0,1988.0,16.0,1.0,3361.0,53.0,25.0,25.0,121.0,37.0,20.0,1872.0,8.0,10.0,16.0,531.0,26.0,16.0,10.0,17.0,32.0,20.666666666666668,29.0,20.166666666666668,11.0,24.0,15.0,38.0,16.0,89.0,20.5,147.0,258.2857142857143,296.3333333333333,40.0,42.66666666666665,15.0,75.0,8.0,28.0,14.0,736.0,151.0,15.0,32.0,24.333333333333325,46.5,138.0,27.0,139.0,149.0,10.0,21.666666666666668,13.0,1727.0,28.0,852.5,89.0,18.33333333333333,12.0,339.0,16.0,21.0,21.0,6.0,612.0,110.0,369.5,3044.0,20.0,4.0,9.75,22.0,29.0,20.0,60.0,14.0,20.0,8.0,47.66666666666666,2.0,12.0,13.0,51.0,23.0,62.42857142857143,8.0,24.666666666666668,9.0,32.5,13.0,21.0,18.0,1023.0,298.0,21.0,171.0,862.5
