time	ABCA3	AGER	NME3	RAGE	tbp	Vegf	ABCD1	hprt	ABCG2	HPGDS	INMT	ADAMTSL2	integrin subunit alpha 8	Lrp2	TTF-1	VIM	AMACR	ywhaz	CD38	Shisa3	Claudin 1	Claudin5	P-63	tfrc	E2F8	TGFB1	EGFR (Epidermal growth factor receptor) (PMID 22916088 22245996)	FGF18	Igfbp3	ppia	EPHA7	Tnc	F13A1	FOXF2	Hist1h1b	Hist1h2ab	GATA-6	N-Cadherin(CDH2)	GUCY1A2  sGC(soluble guanylate cyclase) (PMID 23934926)	hmbs	MMP-3	MMP7	Thy1	Kcnma1	MCPt4	SFTP-D	THTPA	MGAT4A	PRIM2	EGFR
-4.5	8.432857142857141	9.043571428571427	6.817517857142857	4.922142857142857	6.156657142857143	7.882619047619047	6.269	6.085214285714286	6.747142857142858	5.433857142857143	2.8065714285714285	7.718285714285713	7.749309523809523	3.842142857142857	6.365964285714286	8.549535714285716	4.429714285714286	7.6855714285714285	6.304142857142857	4.207857142857143	6.71057142857143	6.964857142857142	10.318857142857144	7.818446428571427	4.87107142857143	5.999714285714286	5.436285714285714	5.546714285714286	6.064250000000001	11.494142857142856	9.15	9.668428571428572	6.214000000000001	6.192142857142857	11.034857142857144	11.509428571428572	7.612857142857143	7.926428571428572	5.780857142857143	7.256714285714286	3.392857142857143	1.8615714285714289	5.8745714285714286	5.973428571428572	4.5909821428571425	4.215714285714286	5.360196428571429	4.875654761904762	5.415803571428572	5.436285714285714
0.5	7.68325	12.12725	6.68440625	5.762	4.949375	7.809499999999999	7.677125	6.35525	7.078749999999999	4.8765625	9.69	7.42375	7.680541666666668	5.9485	5.370312500000001	8.61875	5.340625	8.21875	6.38475	4.848	6.21725	8.82975	10.02525	7.91153125	4.1743749999999995	5.458875	6.34175	5.8835	8.473145833333334	10.964125	7.70275	8.759	6.11225	5.405	7.38075	6.831500000000001	7.097250000000001	6.57325	4.44325	6.51	3.71475	2.8815	3.064	4.84925	4.61446875	10.92675	4.5605	5.3629375	5.77321875	6.34175
1.0	7.5535	11.7425	6.5048125	6.0735	5.43265	7.961208333333334	7.03825	5.8315	7.42575	4.9779374999999995	8.59075	7.26575	7.195791666666667	6.0295000000000005	6.353187500000001	8.7146875	4.74175	7.832833333333333	6.31925	5.51125	6.0105	8.526	9.85225	7.49528125	4.4251249999999995	4.96725	6.112750000000001	4.52825	8.400395833333334	10.9135625	8.009	8.028500000000001	6.20825	5.2015	9.30475	8.682	6.811124999999999	6.11175	5.5955	6.4910000000000005	4.6152500000000005	2.77325	4.86675	4.18875	4.12959375	9.9815	4.229625	5.4700625	5.89140625	6.112750000000001
1.5	7.5965	12.381	6.6175	5.765	5.4099	9.102416666666668	7.8535	6.5760000000000005	6.78525	4.491125	10.1945	7.204749999999999	7.5425	5.198	5.444687500000001	8.569125	5.118	8.434333333333335	6.646	4.945	6.171499999999999	9.433	9.9865	8.089875	3.899999999999999	4.79425	7.145500000000001	6.1915	8.017791666666668	10.7645	8.1695	8.981	5.176	5.977499999999999	6.547000000000001	5.081	7.108749999999999	6.646	5.208500000000001	6.781499999999999	3.902	2.619	4.093500000000001	4.6907499999999995	4.852062500000001	11.094	4.883125	5.552791666666666	6.233437499999999	7.145500000000001
2.0	8.3614	12.381	6.406375000000001	5.7526	5.65982	8.980566666666666	6.7165	5.831	6.5937	5.2024125	8.339400000000001	7.330500000000001	7.384466666666667	6.0996	5.963775	8.4718	5.161	8.438533333333332	6.768600000000001	5.366999999999999	5.886399999999999	9.0934	10.060199999999998	8.3345	4.1307	5.2005	6.481200000000001	5.9986	7.098316666666667	11.1225	8.0057	9.511	5.7376	6.0498	7.670199999999999	7.1566	7.1405	6.5348	5.0428	6.4626	3.3462000000000005	2.1418	3.4848	4.6636	4.285699999999999	11.107	4.5784	5.320216666666667	5.9308250000000005	6.481200000000001
2.5	7.983875	12.381	6.296500000000001	5.2045	5.234925	9.17675	6.68625	5.77925	6.49275	5.3070312500000005	6.119999999999999	6.75425	7.22725	6.114	5.74975	8.36975	5.013	8.445583333333333	6.658	5.135	5.6819999999999995	9.99	9.82	8.5151875	4.545625	5.294625000000001	6.352999999999999	6.55775	6.978666666666666	11.29125	8.242125	10.06175	5.613499999999999	6.16425	7.987749999999999	7.380249999999999	7.092375	6.8665	5.10575	6.72575	3.17425	1.9865	3.66925	4.709625000000001	4.49915625	10.75975	4.9465312500000005	5.272916666666667	5.9270000000000005	6.352999999999999
3.0	7.735	12.381	6.5844249999999995	5.3942	5.89076	8.1495	6.657	5.802700000000001	6.2928999999999995	4.9078125	4.426	6.3743	7.384766666666666	6.3652	5.2040999999999995	7.95505	5.6862	8.5184	5.9968	5.819000000000001	5.686400000000002	9.6656	10.0912	8.459575	4.697699999999999	5.6556999999999995	6.165400000000001	5.932600000000001	6.798616666666666	11.124	7.7385	10.187	5.8058000000000005	6.191599999999999	9.104	8.6934	7.0799	6.8874	3.8238	6.117	2.8766000000000007	2.9192	3.6678	4.896800000000001	4.781000000000001	10.8508	4.739975	4.935816666666667	5.682175	6.165400000000001
3.5	7.602	12.381	6.1388437499999995	4.4715	5.669899999999999	8.160916666666665	6.215375	5.89225	6.29725	4.960968750000001	5.2205	6.5440000000000005	7.526833333333334	5.69725	5.687375	7.9750625	5.4785	8.480416666666667	6.9095	6.3105	4.94325	9.53325	9.75625	8.312000000000001	4.865125	5.7524999999999995	6.08325	6.4595	6.315625000000001	11.2806875	8.143375	10.80675	4.584499999999999	6.90875	10.176	9.73625	6.842499999999999	7.3885	5.339	6.51275	3.0515	2.47125	3.2125000000000004	5.8092500000000005	4.78903125	10.08175	5.591749999999999	5.044166666666667	5.91725	6.08325
4.0	7.864	12.381	6.584843750000001	5.162750000000001	5.6317	9.213916666666666	6.4305	5.988875	6.518	4.9921875	3.60525	6.463625	7.386583333333332	5.90925	5.92015625	8.425374999999999	4.875249999999999	8.36875	6.82925	5.993	5.057	9.34525	9.45825	8.275375	4.95125	5.852374999999999	5.8975	6.732749999999999	5.6470416666666665	11.077625	8.375125	10.6645	4.81875	6.9805	10.09825	9.85675	7.243	7.215	5.29825	6.642	3.058	2.20775	3.99075	5.50425	5.001625000000001	10.052	5.34365625	4.566333333333334	5.4820625000000005	5.8975
4.5	7.700625	12.381	6.52525	4.798	5.8268	9.584416666666666	6.58775	6.30375	6.542375000000001	4.8440312500000005	4.79875	6.752000000000001	7.312958333333333	4.65225	5.608375	8.6983125	5.372125	8.45275	6.71875	6.37375	4.6835	9.8585	9.29525	8.19215625	4.6236250000000005	5.4555	6.512249999999999	7.005000000000001	5.180208333333333	11.189	8.81625	10.97875	4.43725	7.5375	10.428	9.973249999999998	7.0095	7.114	5.5005	6.764	3.24975	2.239	3.72325	5.476625	4.7780000000000005	9.3275	5.438750000000001	4.864624999999999	5.7275624999999994	6.512249999999999
