Gene,Time_-4.5,Time_0.5,Time_1.0,Time_1.5,Time_2.0,Time_2.5,Time_3.0,Time_3.5,Time_4.0,Time_4.5,Time_5.0,Time_5.5,Time_6.0,Time_6.5,Time_7.0,Time_7.5,Time_8.0,Time_8.5,Time_9.0,Time_9.5,Time_10.0,Time_10.5,Time_11.0,Time_11.5,Time_12.0,Time_12.5,Time_13.0,Time_13.5,Time_14.0,Time_15.0,Time_16.0,Time_17.0,Time_18.0,Time_19.0,Time_20.0,Time_21.0,Time_22.0,Time_23.0,Time_24.0,Time_25.0,Time_26.0,Time_27.0,Time_28.0
ABCA3,8.432857142857141,7.68325,7.5535,7.5965,8.3614,7.983875,7.735,7.602,7.864,7.700625,7.4982500000000005,7.686375,8.13825,8.132375,7.781199999999999,7.43175,7.7231250000000005,7.680875,7.8165,7.197875,7.9548749999999995,7.570875,7.489875,7.650499999999999,8.0325,7.9335,7.853375000000001,7.195166666666667,7.809375,8.139750000000001,7.907374999999999,8.178875,8.292625000000001,8.036375,8.199833333333332,8.293625,8.004625,8.14625,8.384,8.346375,8.29675,8.410375,8.55225
AGER,9.043571428571427,12.12725,11.7425,12.381,12.381,12.381,12.381,12.381,12.381,12.381,12.381,12.381,12.25275,12.381,12.0732,12.381,12.1245,12.25275,11.996250000000002,11.638000000000002,11.868,11.99625,11.996250000000002,11.996250000000002,11.868,12.1245,12.1245,12.21,11.996250000000002,12.381,12.25275,12.25275,12.381,12.25275,12.381,12.381,12.381,12.381,12.381,12.381,12.381,12.381,12.381
NME3,6.817517857142857,6.68440625,6.5048125,6.6175,6.406375000000001,6.296500000000001,6.5844249999999995,6.1388437499999995,6.584843750000001,6.52525,6.38271875,6.647125,6.242687500000001,6.534125000000001,6.58305,6.8530625,6.712125,6.860125000000001,6.9541875,6.508968749999999,6.683375,6.345062500000001,6.901093749999999,6.726875,6.62459375,6.76078125,6.8653125,6.842041666666667,6.6699375000000005,6.81090625,6.786781249999999,6.9974687499999995,6.981,7.056625,6.9154583333333335,6.891937500000001,7.104156250000001,6.7530625,6.9398125,6.8590937499999995,6.7486250000000005,6.915625,6.74253125
RAGE,4.922142857142857,5.762,6.0735,5.765,5.7526,5.2045,5.3942,4.4715,5.162750000000001,4.798,4.10975,5.2555,4.58825,4.65225,4.593,5.6325,4.87275,4.5585,4.41525,4.90325,4.1215,5.415000000000001,3.70775,3.981,4.05225,3.82725,4.5005,4.695,4.78525,4.482,4.114,3.9162500000000007,4.097,4.458,5.1113333333333335,4.095750000000001,4.173,3.7325,4.4695,4.150500000000001,4.38775,3.99075,4.81275
tbp,6.156657142857143,4.949375,5.43265,5.4099,5.65982,5.234925,5.89076,5.669899999999999,5.6317,5.8268,6.00835,5.09055,5.601800000000001,5.929450000000001,5.78698,6.42395,5.116175,5.110149999999999,5.553375000000001,5.793849999999999,5.967775,5.050274999999999,6.30715,6.0280249999999995,5.7124,6.023250000000001,6.165725,6.180433333333333,6.024025,6.163399999999999,6.244199999999999,6.1381499999999996,6.1822,6.245375,5.815233333333333,6.16295,5.938175000000001,6.4220500000000005,5.980925000000001,6.1979,6.414975,6.2118,6.089675000000001
Vegf,7.882619047619047,7.809499999999999,7.961208333333334,9.102416666666667,8.980566666666666,9.17675,8.1495,8.160916666666665,9.213916666666666,9.584416666666666,9.035541666666667,8.706458333333332,9.026291666666667,9.2515,9.630666666666666,8.548666666666668,9.119166666666667,9.196291666666665,9.431624999999999,8.581416666666668,9.076041666666667,8.531583333333332,9.68875,9.582166666666668,9.67975,10.12975,9.816833333333333,9.469333333333333,9.532333333333334,9.710375,9.793708333333333,10.289291666666667,10.08925,10.20225,9.828166666666666,10.323458333333333,9.833833333333331,10.424416666666666,10.171583333333333,10.405083333333332,10.331874999999998,10.338958333333332,10.246166666666667
ABCD1,6.269,7.677125,7.03825,7.8535,6.7165,6.68625,6.657,6.215375,6.4305,6.58775,6.220375000000001,6.357,6.390625,6.547875,6.777699999999999,6.060499999999999,6.57025,6.8408750000000005,6.686375,7.05425,6.535375,6.52675,6.524000000000001,6.614,6.656375,6.684,6.712375,6.757833333333334,6.5177499999999995,6.999749999999999,7.435874999999999,7.20825,7.1732499999999995,7.232,7.307333333333333,7.2940000000000005,7.1217500000000005,7.284375,7.153124999999999,7.178000000000001,7.064125000000001,7.2372499999999995,7.024125
hprt,6.085214285714286,6.35525,5.8315,6.5760000000000005,5.831,5.77925,5.802700000000001,5.89225,5.988875,6.30375,5.7307500000000005,6.317,5.9041250000000005,6.252875000000001,6.2123,6.28625,5.890499999999999,6.364625,5.991875,6.707625,6.490125,6.15525,5.947625,6.0634999999999994,5.896000000000001,6.133125,6.124124999999999,6.57,6.0402499999999995,6.019375,6.267250000000001,6.367625,6.158750000000001,6.18675,6.220833333333333,6.27525,6.145875,6.488625000000001,6.1903749999999995,6.300375000000001,6.148625,6.29725,6.429
ABCG2,6.747142857142858,7.078749999999999,7.42575,6.7852500000000004,6.5937,6.49275,6.2928999999999995,6.29725,6.518,6.542375000000001,6.242,6.086375,6.689625,6.174250000000001,6.036099999999999,6.456499999999999,6.468125,6.606625,6.47025,6.5545,5.976375000000001,6.5642499999999995,6.229625,6.3365,6.751249999999999,6.2219999999999995,6.2798750000000005,6.515000000000001,6.215375,6.877749999999999,7.0603750000000005,6.511375,7.163624999999999,6.698875,7.326666666666666,7.2105,7.0813749999999995,6.802125,6.928125,7.001625000000001,7.050625,7.062625,6.990875
HPGDS,5.433857142857143,4.8765625,4.9779374999999995,4.491125,5.2024125,5.3070312500000005,4.9078125,4.960968750000001,4.9921875,4.8440312500000005,4.562828124999999,4.8665,4.67278125,4.997703125,4.9047,5.400874999999999,4.666828125,4.7232031249999995,4.581921875,5.5405625,4.60359375,5.291578125,4.743984375,4.803234375000001,4.670546874999999,4.4724375,4.756640625000001,4.401583333333333,4.567234375,4.725890625,4.734328125,4.940359375,4.980468749999999,4.42371875,4.4050625,5.081546875000001,4.620203125,4.817390625000001,4.65396875,4.831984374999999,4.718500000000001,4.8173281249999995,4.860984374999999
