Rank,Term,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value
1,negative regulation of smooth muscle contraction (GO:0045986),0.0017489165149326186,832.875,5287.722499803602,['KCNMA1'],0.04169016505066798,0,0
2,negative regulation of cell volume (GO:0045794),0.0017489165149326186,832.875,5287.722499803602,['KCNMA1'],0.04169016505066798,0,0
3,xenobiotic transport across blood-brain barrier (GO:1990962),0.002098387281973246,666.2666666666667,4108.590825691207,['ABCG2'],0.04169016505066798,0,0
4,regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544),0.002447753460042304,555.1944444444445,3338.1535834228603,['FGF18'],0.04169016505066798,0,0
5,mesodermal cell differentiation (GO:0048333),0.003146171972763632,416.3541666666667,2398.8531813701998,['ITGA8'],0.04169016505066798,0,0
6,urate metabolic process (GO:0046415),0.00384417200458596,333.05,1852.1566750462314,['ABCG2'],0.04169016505066798,0,0
7,cellular potassium ion homeostasis (GO:0030007),0.0045417536091676225,277.5138888888889,1497.032601111507,['KCNMA1'],0.04169016505066798,0,0
8,vasodilation (GO:0042311),0.004890387533564395,256.15384615384613,1362.8623704331803,['KCNMA1'],0.04169016505066798,0,0
9,genitalia development (GO:0048806),0.004890387533564395,256.15384615384613,1362.8623704331803,['FOXF2'],0.04169016505066798,0,0
10,positive regulation of endothelial cell chemotaxis (GO:2001028),0.005238916894144343,237.8452380952381,1249.0776854949,['FGF18'],0.04169016505066798,0,0
11,heme catabolic process (GO:0042167),0.005587341707821481,221.9777777777778,1151.4545938502376,['ABCG2'],0.04169016505066798,0,0
12,transepithelial transport (GO:0070633),0.005587341707821481,221.9777777777778,1151.4545938502376,['ABCG2'],0.04169016505066798,0,0
13,porphyrin-containing compound catabolic process (GO:0006787),0.005587341707821481,221.9777777777778,1151.4545938502376,['ABCG2'],0.04169016505066798,0,0
14,xenobiotic transport (GO:0042908),0.006979995894180786,175.21052631578948,869.8689177892479,['ABCG2'],0.042316225108471016,0,0
15,cellular monovalent inorganic cation homeostasis (GO:0030004),0.006979995894180786,175.21052631578948,869.8689177892479,['KCNMA1'],0.042316225108471016,0,0
16,mesoderm formation (GO:0001707),0.006979995894180786,175.21052631578948,869.8689177892479,['ITGA8'],0.042316225108471016,0,0
17,heme biosynthetic process (GO:0006783),0.0076756962402828215,158.5079365079365,771.8855078560287,['ABCG2'],0.04273605064155253,0,0
18,potassium ion homeostasis (GO:0055075),0.00837097899164431,144.71014492753622,692.1463710595567,['KCNMA1'],0.04273605064155253,0,0
19,porphyrin-containing compound biosynthetic process (GO:0006779),0.00837097899164431,144.71014492753622,692.1463710595567,['ABCG2'],0.04273605064155253,0,0
20,nucleobase-containing small molecule interconversion (GO:0015949),0.009413120536176647,127.99358974358974,597.1733894173036,['NME3'],0.043034016736111985,0,0
21,amide transport (GO:0042886),0.009760292455613027,123.24691358024691,570.5633183132499,['ABCG2'],0.043034016736111985,0,0
22,sulfur compound transport (GO:0072348),0.009760292455613027,123.24691358024691,570.5633183132499,['ABCG2'],0.043034016736111985,0,0
23,vitamin transport (GO:0051180),0.010801182772692638,110.90555555555555,502.1914056148727,['ABCG2'],0.04555281430222548,0,0
24,regulation of sprouting angiogenesis (GO:1903670),0.011494588689037815,103.96354166666667,464.2885874243707,['FGF18'],0.04645729595152784,0,0
25,positive regulation of potassium ion transport (GO:0043268),0.013226281560919952,89.89189189189189,388.83181917405244,['KCNMA1'],0.050059665939423625,0,0
26,positive regulation of cation transmembrane transport (GO:1904064),0.01426404896544071,83.1375,353.3354529299383,['KCNMA1'],0.050059665939423625,0,0
27,regulation of ubiquitin-dependent protein catabolic process (GO:2000058),0.014609763532150127,81.10569105691057,342.7579416357621,['FOXF2'],0.050059665939423625,0,0
28,anion transport (GO:0006820),0.014955374188168613,79.17063492063492,332.7292054829482,['ABCG2'],0.050059665939423625,0,0
29,positive regulation of potassium ion transmembrane transport (GO:1901381),0.015300880961660553,77.32558139534883,323.20893495079423,['KCNMA1'],0.050059665939423625,0,0
30,epithelial to mesenchymal transition (GO:0001837),0.016336778228659577,72.27173913043478,297.35024553718466,['FOXF2'],0.050059665939423625,0,0
31,positive regulation of blood vessel endothelial cell migration (GO:0043536),0.01668186971656736,70.73049645390071,289.53053379202834,['FGF18'],0.050059665939423625,0,0
32,substrate adhesion-dependent cell spreading (GO:0034446),0.01668186971656736,70.73049645390071,289.53053379202834,['ITGA8'],0.050059665939423625,0,0
33,mesenchymal cell differentiation (GO:0048762),0.01771652174638986,66.47666666666667,268.1175238998497,['FOXF2'],0.050059665939423625,0,0
34,regulation of potassium ion transmembrane transport (GO:1901379),0.018750240650692064,62.704402515723274,249.34710980306107,['KCNMA1'],0.050059665939423625,0,0
35,regulation of proteasomal protein catabolic process (GO:0061136),0.018750240650692064,62.704402515723274,249.34710980306107,['FOXF2'],0.050059665939423625,0,0
36,regulation of blood vessel endothelial cell migration (GO:0043535),0.019094606376572693,61.54012345679013,243.59730906690254,['FGF18'],0.050059665939423625,0,0
37,renal system development (GO:0072001),0.019783027115454172,59.336309523809526,232.7722436237054,['ITGA8'],0.050059665939423625,0,0
38,monocarboxylic acid transport (GO:0015718),0.019783027115454172,59.336309523809526,232.7722436237054,['ABCG2'],0.050059665939423625,0,0
39,cellular iron ion homeostasis (GO:0006879),0.020127082181830118,58.292397660818715,227.67197624460493,['ABCG2'],0.050059665939423625,0,0
40,iron ion homeostasis (GO:0055072),0.021158626475049302,55.36944444444445,213.4883869485878,['ABCG2'],0.051309669201994555,0,0
41,positive regulation of MAP kinase activity (GO:0043406),0.023904862429754863,48.83578431372549,182.336868459542,['FGF18'],0.0549659253705985,0,0
42,kidney development (GO:0001822),0.0242476771638985,48.1256038647343,179.00002909758112,['ITGA8'],0.0549659253705985,0,0
43,response to metal ion (GO:0010038),0.024590388704151093,47.43571428571428,175.76827747389902,['KCNMA1'],0.0549659253705985,0,0
44,cell morphogenesis involved in differentiation (GO:0000904),0.02493299707532303,46.76525821596244,172.63690482090692,['ITGA8'],0.0549659253705985,0,0
45,fibroblast growth factor receptor signaling pathway (GO:0008543),0.025960203436256272,44.862612612612615,163.80194724861406,['FGF18'],0.05595866074037463,0,0
46,vascular transport (GO:0010232),0.029036259723484923,39.97991967871486,141.4973273170703,['ABCG2'],0.05861263676935914,0,0
47,positive regulation of endothelial cell migration (GO:0010595),0.029718695945433443,39.03529411764706,137.24727196053433,['FGF18'],0.05861263676935914,0,0
48,transport across blood-brain barrier (GO:0150104),0.029718695945433443,39.03529411764706,137.24727196053433,['ABCG2'],0.05861263676935914,0,0
49,cellular response to fibroblast growth factor stimulus (GO:0044344),0.03176353861225931,36.45054945054945,125.73384593452349,['FGF18'],0.05861263676935914,0,0
50,regulation of endothelial cell proliferation (GO:0001936),0.03176353861225931,36.45054945054945,125.73384593452349,['FGF18'],0.05861263676935914,0,0
51,regulation of epithelial cell proliferation (GO:0050678),0.03210398637148369,36.052536231884055,123.97656282354944,['FGF18'],0.05861263676935914,0,0
52,cellular transition metal ion homeostasis (GO:0046916),0.03312471412478204,34.90877192982456,118.95078944635853,['ABCG2'],0.05861263676935914,0,0
53,regulation of MAP kinase activity (GO:0043405),0.033464751621073416,34.54340277777778,117.3530097985263,['FGF18'],0.05861263676935914,0,0
54,organic anion transport (GO:0015711),0.03414451913348685,33.835034013605444,114.26609338238741,['ABCG2'],0.05861263676935914,0,0
55,organic acid transport (GO:0015849),0.03448424920041465,33.49158249158249,112.77461836050252,['ABCG2'],0.05861263676935914,0,0
56,cell-matrix adhesion (GO:0007160),0.03448424920041465,33.49158249158249,112.77461836050252,['ITGA8'],0.05861263676935914,0,0
57,positive regulation of vasculature development (GO:1904018),0.03516340208830281,32.82508250825082,109.89015193471779,['FGF18'],0.05861263676935914,0,0
58,regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434),0.03516340208830281,32.82508250825082,109.89015193471779,['FOXF2'],0.05861263676935914,0,0
59,cellular metal ion homeostasis (GO:0006875),0.03584214548589481,32.18446601941748,107.13020583222142,['KCNMA1'],0.05861263676935914,0,0
60,positive regulation of protein serine/threonine kinase activity (GO:0071902),0.03652047958894548,31.56825396825397,104.48719845726775,['FGF18'],0.05861263676935914,0,0
61,response to calcium ion (GO:0051592),0.03685949322609183,31.2688679245283,103.20734112335163,['KCNMA1'],0.05861263676935914,0,0
62,regulation of protein ubiquitination (GO:0031396),0.03753721378252152,30.686728395061728,100.72680683140084,['FOXF2'],0.05872757640168689,0,0
63,positive regulation of angiogenesis (GO:0045766),0.03990601797378043,28.808695652173913,92.79938111288821,['FGF18'],0.06144259910248734,0,0
64,potassium ion transport (GO:0006813),0.04193244265455188,27.371900826446282,86.81533369125698,['KCNMA1'],0.06355385839830519,0,0
65,regulation of cell motility (GO:2000145),0.04563803451072045,25.0770202020202,77.41310792741105,['FGF18'],0.06810598996215206,0,0
66,organic substance transport (GO:0071702),0.04664651585184369,24.516049382716048,75.14554139444749,['ABCG2'],0.06855624299437633,0,0
67,nitrogen compound transport (GO:0071705),0.04899608753652055,23.299295774647888,70.2710215907855,['ABCG2'],0.07093463419466407,0,0
68,positive regulation of protein kinase B signaling (GO:0051897),0.05501506607200719,20.659375,59.915249274727685,['FGF18'],0.07847737366153967,0,0
69,cation transport (GO:0006812),0.05934177273877503,19.094412331406552,53.93105615009288,['KCNMA1'],0.08342249211103156,0,0
70,regulation of angiogenesis (GO:0045765),0.06893251136929653,16.32920792079208,43.6745460945832,['FGF18'],0.09552076575459661,0,0
71,regulation of protein kinase B signaling (GO:0051896),0.07024877084203676,16.008899676375403,42.51503446681964,['FGF18'],0.0959736728405291,0,0
72,positive regulation of protein modification process (GO:0031401),0.07254838726409939,15.477308294209703,40.60474197778335,['FGF18'],0.09638712218253175,0,0
73,extracellular structure organization (GO:0043062),0.07320452440037407,15.331782945736434,40.08491663269166,['ITGA8'],0.09638712218253175,0,0
74,external encapsulating structure organization (GO:0045229),0.07353244372687989,15.260030864197532,39.829116365351204,['ITGA8'],0.09638712218253175,0,0
75,positive regulation of phosphorylation (GO:0042327),0.08527149890006037,13.056216931216932,32.14329641198811,['FGF18'],0.11028447191074474,0,0
76,regulation of protein phosphorylation (GO:0001932),0.08947915236317884,12.407547169811322,29.948712208251436,['FGF18'],0.11420365498984668,0,0
77,positive regulation of MAPK cascade (GO:0043410),0.09206022292853092,12.039072039072039,28.716946844597043,['FGF18'],0.11597196914373376,0,0
78,positive regulation of programmed cell death (GO:0043068),0.09592006927364377,11.52514619883041,27.017709256004203,['KCNMA1'],0.1192852143531211,0,0
79,extracellular matrix organization (GO:0030198),0.10040543927022255,10.977703455964326,25.232678395392174,['ITGA8'],0.12290397651451622,0,0
80,MAPK cascade (GO:0000165),0.10136410434186906,10.866997792494482,24.87495188733201,['FGF18'],0.12290397651451622,0,0
81,positive regulation of apoptotic process (GO:0043065),0.10359758484033046,10.617044228694715,24.071400753445328,['KCNMA1'],0.12406130530261797,0,0
82,positive regulation of protein phosphorylation (GO:0001934),0.12286022588437225,8.83918918918919,18.533198197653473,['FGF18'],0.14533465744858667,0,0
83,positive regulation of macromolecule metabolic process (GO:0010604),0.12691918674035793,8.533507397737162,17.61490624807942,['FGF18'],0.14832724233511713,0,0
84,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.13313230289069602,8.101736972704714,16.336438734096625,['FGF18'],0.1533403017701205,0,0
85,regulation of cell migration (GO:0030334),0.13437036753051798,8.02047502047502,16.09833938607546,['FGF18'],0.1533403017701205,0,0
