Rank,Term,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value
1,regulation of protein phosphorylation (GO:0001932),3.545737008023497e-06,17.49230769230769,219.52434243019692,"['EPHA7', 'TGFB1', 'TFRC', 'IGFBP3', 'AGER', 'EGFR']",0.0025210190127047064,0,0
2,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101),2.5733483730988448e-05,27.285714285714285,288.3477215891002,"['TGFB1', 'ADAMTSL2', 'NKX2-1', 'LRP2']",0.009148253466366394,0,0
3,positive regulation of phosphorylation (GO:0042327),4.742140686480273e-05,14.72520908004779,146.61061371354506,"['EPHA7', 'TGFB1', 'TFRC', 'AGER', 'EGFR']",0.011238873426958248,0,0
4,positive regulation of gene expression (GO:0010628),0.000101029917173455,9.449903038138332,86.9399950637925,"['TGFB1', 'TBP', 'TFRC', 'NKX2-1', 'VIM', 'EGFR']",0.015564060822008403,0,0
5,positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),0.00013517920606612052,147.84444444444443,1317.1327323844173,"['TGFB1', 'EGFR']",0.015564060822008403,0,0
6,negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512),0.00017373232605679561,31.675862068965518,274.24944905422035,"['TGFB1', 'ADAMTSL2', 'NKX2-1']",0.015564060822008403,0,0
7,response to UV-A (GO:0070141),0.00022299126039333032,110.86666666666666,932.2088385312345,"['MMP3', 'EGFR']",0.015564060822008403,0,0
8,fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540),0.00025704084175112637,102.33333333333333,845.9155331637611,"['AMACR', 'ABCD1']",0.015564060822008403,0,0
9,positive regulation of collagen biosynthetic process (GO:0032967),0.00029346780620414034,95.01904761904763,772.8604767574918,"['TGFB1', 'VIM']",0.015564060822008403,0,0
10,positive regulation of isotype switching (GO:0045830),0.00029346780620414034,95.01904761904763,772.8604767574918,"['TGFB1', 'TFRC']",0.015564060822008403,0,0
11,vascular transport (GO:0010232),0.00032462562743147395,25.39846743295019,204.021773199179,"['TFRC', 'LRP2', 'AGER']",0.015564060822008403,0,0
12,positive regulation of collagen metabolic process (GO:0010714),0.00033226493816512786,88.68,710.2893682397718,"['TGFB1', 'VIM']",0.015564060822008403,0,0
13,transport across blood-brain barrier (GO:0150104),0.00034790912035043907,24.783963439966765,197.3688094091607,"['TFRC', 'LRP2', 'AGER']",0.015564060822008403,0,0
14,negative regulation of multicellular organismal process (GO:0051241),0.0003623026721370797,13.440816326530612,106.49199883720834,"['TGFB1', 'NKX2-1', 'AGER', 'EGFR']",0.015564060822008403,0,0
15,positive regulation of protein modification process (GO:0031401),0.0003623026721370797,13.440816326530612,106.49199883720834,"['TGFB1', 'TFRC', 'AGER', 'EGFR']",0.015564060822008403,0,0
16,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),0.0003734250375722719,83.13333333333334,656.1542143574874,"['TGFB1', 'EGFR']",0.015564060822008403,0,0
17,regulation of collagen biosynthetic process (GO:0032965),0.00041694092006807905,78.2392156862745,608.9018617989119,"['TGFB1', 'VIM']",0.015564060822008403,0,0
