Gene1,Gene1_Chromosome,Gene1_Start,Gene1_End,Gene1_Bin,Gene2,Gene2_Chromosome,Gene2_Start,Gene2_End,Gene2_Bin,HiC_Interaction,Gene1_Time_-4.5,Gene2_Time_-4.5,Gene1_Time_0.5,Gene2_Time_0.5,Gene1_Time_1.0,Gene2_Time_1.0,Gene1_Time_1.5,Gene2_Time_1.5,Gene1_Time_2.0,Gene2_Time_2.0,Gene1_Time_2.5,Gene2_Time_2.5,Gene1_Time_3.0,Gene2_Time_3.0,Gene1_Time_3.5,Gene2_Time_3.5,Gene1_Time_4.0,Gene2_Time_4.0,Gene1_Time_4.5,Gene2_Time_4.5,Gene1_Time_5.0,Gene2_Time_5.0,Gene1_Time_5.5,Gene2_Time_5.5,Gene1_Time_6.0,Gene2_Time_6.0,Gene1_Time_6.5,Gene2_Time_6.5,Gene1_Time_7.0,Gene2_Time_7.0,Gene1_Time_7.5,Gene2_Time_7.5,Gene1_Time_8.0,Gene2_Time_8.0,Gene1_Time_8.5,Gene2_Time_8.5,Gene1_Time_9.0,Gene2_Time_9.0,Gene1_Time_9.5,Gene2_Time_9.5,Gene1_Time_10.0,Gene2_Time_10.0,Gene1_Time_10.5,Gene2_Time_10.5,Gene1_Time_11.0,Gene2_Time_11.0,Gene1_Time_11.5,Gene2_Time_11.5,Gene1_Time_12.0,Gene2_Time_12.0,Gene1_Time_12.5,Gene2_Time_12.5,Gene1_Time_13.0,Gene2_Time_13.0,Gene1_Time_13.5,Gene2_Time_13.5,Gene1_Time_14.0,Gene2_Time_14.0,Gene1_Time_15.0,Gene2_Time_15.0,Gene1_Time_16.0,Gene2_Time_16.0,Gene1_Time_17.0,Gene2_Time_17.0,Gene1_Time_18.0,Gene2_Time_18.0,Gene1_Time_19.0,Gene2_Time_19.0,Gene1_Time_20.0,Gene2_Time_20.0,Gene1_Time_21.0,Gene2_Time_21.0,Gene1_Time_22.0,Gene2_Time_22.0,Gene1_Time_23.0,Gene2_Time_23.0,Gene1_Time_24.0,Gene2_Time_24.0,Gene1_Time_25.0,Gene2_Time_25.0,Gene1_Time_26.0,Gene2_Time_26.0,Gene1_Time_27.0,Gene2_Time_27.0,Gene1_Time_28.0,Gene2_Time_28.0,Gene1_Compartment,Gene2_Compartment,Gene1_Insulation_Score,Gene2_Insulation_Score,Gene1_TAD_Boundary_Distance,Gene2_TAD_Boundary_Distance
ABCA3,17,24570924.0,24629175.0,24000000.0,AGER,17,34816836.0,34819910.0,34000000.0,116.5836,7.627285714285714,9.043571428571427,8.189,12.12725,8.53575,11.7425,8.363,12.381,8.7666,12.381,8.44325,12.381,8.0104,12.381,7.7755,12.381,8.34825,12.381,8.1025,12.381,7.74925,12.381,8.09875,12.381,8.4365,12.25275,8.477,12.381,8.206199999999999,12.0732,7.7135,12.381,8.002500000000001,12.1245,8.221250000000001,12.25275,8.1205,11.996250000000002,7.37525,11.638000000000002,8.0735,11.868,8.24525,11.99625,8.17175,11.996250000000002,8.26625,11.996250000000002,8.350000000000001,11.868,8.473500000000001,12.1245,8.528500000000001,12.1245,7.050333333333334,12.21,8.26575,11.996250000000002,8.382000000000001,12.381,8.2335,12.25275,8.60025,12.25275,8.7195,12.381,8.579500000000001,12.25275,8.546999999999999,12.381,8.719750000000001,12.381,8.35725,12.381,8.5275,12.381,8.77675,12.381,8.9605,12.381,8.84875,12.381,9.049,12.381,8.982,12.381,B,B,-0.499831423623827,-1.3234497832890242,3.0,0.0
ABCA3,17,24570924.0,24629175.0,24000000.0,NME3,17,25115474.0,25116496.0,25000000.0,491.0158,7.627285714285714,6.972857142857142,8.189,6.44075,8.53575,6.1445,8.363,6.497,8.7666,6.4338,8.44325,6.268000000000001,8.0104,6.6354,7.7755,6.0775,8.34825,6.68275,8.1025,6.46,7.74925,6.48275,8.09875,6.782,8.4365,6.2145,8.477,6.525,8.206199999999999,6.617400000000001,7.7135,7.214,8.002500000000001,6.7627500000000005,8.221250000000001,6.923500000000001,8.1205,7.0715,7.37525,6.4425,8.0735,6.727499999999999,8.24525,6.26125,8.17175,7.03925,8.26625,6.8115000000000006,8.350000000000001,6.68075,8.473500000000001,6.90025,8.528500000000001,6.9475,7.050333333333334,6.866666666666667,8.26575,6.7867500000000005,8.382000000000001,6.810499999999999,8.2335,6.717,8.60025,7.0512500000000005,8.7195,7.039,8.579500000000001,7.11325,8.546999999999999,6.866333333333333,8.719750000000001,6.8637500000000005,8.35725,7.13175,8.5275,6.5965,8.77675,7.00325,8.9605,6.8465,8.84875,6.708500000000001,9.049,6.898249999999999,8.982,6.74025,B,B,-0.499831423623827,-1.4935745077395115,3.0,2.0
ABCA3,17,24570924.0,24629175.0,24000000.0,RAGE,17,34816836.0,34819910.0,34000000.0,116.5836,7.627285714285714,4.922142857142857,8.189,5.762,8.53575,6.0735,8.363,5.765,8.7666,5.7526,8.44325,5.2045,8.0104,5.3942,7.7755,4.4715,8.34825,5.162750000000001,8.1025,4.798,7.74925,4.10975,8.09875,5.2555,8.4365,4.58825,8.477,4.65225,8.206199999999999,4.593,7.7135,5.6325,8.002500000000001,4.87275,8.221250000000001,4.5585,8.1205,4.41525,7.37525,4.90325,8.0735,4.1215,8.24525,5.415000000000001,8.17175,3.70775,8.26625,3.981,8.350000000000001,4.05225,8.473500000000001,3.82725,8.528500000000001,4.5005,7.050333333333334,4.695,8.26575,4.78525,8.382000000000001,4.482,8.2335,4.114,8.60025,3.9162500000000007,8.7195,4.097,8.579500000000001,4.458,8.546999999999999,5.1113333333333335,8.719750000000001,4.095750000000001,8.35725,4.173,8.5275,3.7325,8.77675,4.4695,8.9605,4.150500000000001,8.84875,4.38775,9.049,3.99075,8.982,4.81275,B,B,-0.499831423623827,-1.3234497832890242,3.0,0.0
ABCA3,17,24570924.0,24629175.0,24000000.0,tbp,17,15720150.0,15748641.0,15000000.0,57.5146,7.627285714285714,6.155428571428572,8.189,4.82225,8.53575,5.3275,8.363,5.3775,8.7666,5.684399999999999,8.44325,5.20825,8.0104,5.9256,7.7755,5.633249999999999,8.34825,5.6075,8.1025,5.759,7.74925,6.0545,8.09875,4.9670000000000005,8.4365,5.5752500000000005,8.477,5.892,8.206199999999999,5.772799999999999,7.7135,6.4715,8.002500000000001,5.03125,8.221250000000001,4.98975,8.1205,5.514,7.37525,5.73075,8.0735,5.908,8.24525,4.91975,8.17175,6.351249999999999,8.26625,6.03975,8.350000000000001,5.71425,8.473500000000001,6.049,8.528500000000001,6.18075,7.050333333333334,6.136,8.26575,6.04425,8.382000000000001,6.20025,8.2335,6.2905,8.60025,6.154,8.7195,6.2255,8.579500000000001,6.29025,8.546999999999999,5.797333333333333,8.719750000000001,6.1857500000000005,8.35725,5.9262500000000005,8.5275,6.4215,8.77675,6.0025,8.9605,6.21775,8.84875,6.4662500000000005,9.049,6.23225,8.982,6.0825000000000005,B,A,-0.499831423623827,0.1395043436292441,3.0,1.0
ABCA3,17,24570924.0,24629175.0,24000000.0,Vegf,17,46327919.0,46343295.0,46000000.0,51.9935,7.627285714285714,7.298571428571428,8.189,7.285749999999999,8.53575,7.464,8.363,8.794,8.7666,8.6684,8.44325,8.874,8.0104,7.7628,7.7755,7.73875,8.34825,8.8705,8.1025,9.1915,7.74925,8.73625,8.09875,8.33125,8.4365,8.5875,8.477,8.8765,8.206199999999999,9.3536,7.7135,8.161,8.002500000000001,8.8215,8.221250000000001,8.939499999999999,8.1205,9.23925,7.37525,8.373750000000001,8.0735,8.805250000000001,8.24525,8.072999999999999,8.17175,9.42775,8.26625,9.28625,8.350000000000001,9.3425,8.473500000000001,9.8825,8.528500000000001,9.60225,7.050333333333334,9.153,8.26575,9.2295,8.382000000000001,9.55225,8.2335,9.61475,8.60025,10.16975,8.7195,9.909,8.579500000000001,10.06425,8.546999999999999,9.655,8.719750000000001,10.22725,8.35725,9.665499999999998,8.5275,10.3505,8.77675,10.05775,8.9605,10.303999999999998,8.84875,10.234749999999998,9.049,10.22725,8.982,10.11025,B,B,-0.499831423623827,0.0,3.0,7.0
ABCD1,X,72760203.0,72782140.0,72000000.0,hprt,X,52077014.0,52110536.0,52000000.0,13.3685,6.002714285714285,6.167714285714285,6.617,6.0935,5.284,6.379,7.4505,5.701499999999999,6.2234,5.4386,6.083500000000001,5.475,6.0282,5.5772,5.78475,5.99975,6.12825,5.8495,6.1705,6.437,5.8685,5.593,6.431500000000001,6.2025,5.9675,5.84075,6.23925,6.266500000000001,6.51,5.914599999999999,6.576499999999999,5.996,5.900499999999999,5.8805000000000005,6.5355,6.19375,6.076,5.90775,7.0535000000000005,6.36175,6.4745,6.50575,6.0855,6.225,5.985,5.91025,6.2045,5.922499999999999,6.09625,5.69575,6.47475,5.7915,6.2177500000000006,6.0305,6.559666666666668,6.580333333333333,6.238499999999999,5.842,6.207,5.83175,6.707,5.827500000000001,6.73975,5.9955,6.525,5.7925,6.532,5.8415,6.465333333333334,5.976333333333333,6.59275,5.95775,6.24625,6.0455000000000005,6.55025,6.4270000000000005,6.593999999999999,5.7867500000000005,6.5815,6.01925,6.34375,5.9535,6.56675,6.02775,6.70375,6.15425,B,B,0.7066505878888382,0.4937994938770912,3.0,4.0
ABCG2,6,58561508.0,58672661.0,58000000.0,HPGDS,6,65094277.0,65121892.0,65000000.0,109.3187,6.9590000000000005,4.611571428571429,5.42025,4.61525,6.058999999999999,4.289,5.314,3.454,5.9778,4.744400000000001,5.6965,4.734,5.3,4.2994,5.9485,4.107,6.30325,4.16425,6.079750000000001,3.84625,5.91175,3.649,5.89025,4.05225,6.5655,3.68,5.492,4.469250000000001,5.0268,4.3164,7.368499999999999,4.480499999999999,5.69625,3.7825,6.067,4.013249999999999,5.64375,3.6625,6.054,4.738,5.3565000000000005,3.706,6.1605,4.780749999999999,5.39625,4.496,5.649500000000001,4.01925,6.286,3.5547500000000003,5.55075,3.38675,5.35275,4.057,6.074000000000001,3.51,5.63375,3.5505000000000004,5.963,3.72525,5.956,4.00225,5.346,4.26275,6.505749999999999,4.071249999999999,5.46575,3.40625,6.504,3.0476666666666667,6.42575,4.2225,6.1655,3.47875,5.585750000000001,3.998,6.144,3.6135,6.22875,3.8825,6.316749999999999,3.68975,6.217499999999999,3.93275,6.63725,3.846,B,B,-0.6317374118992531,0.6086442848006643,3.0,0.0
ABCG2,6,58561508.0,58672661.0,58000000.0,INMT,6,55147611.0,55152028.0,55000000.0,108.2564,6.9590000000000005,2.8065714285714285,5.42025,9.69,6.058999999999999,8.59075,5.314,10.1945,5.9778,8.339400000000001,5.6965,6.119999999999999,5.3,4.426,5.9485,5.2205,6.30325,3.60525,6.079750000000001,4.79875,5.91175,4.41375,5.89025,4.8275,6.5655,3.99025,5.492,4.236,5.0268,5.099,7.368499999999999,5.2265,5.69625,4.961,6.067,5.442,5.64375,5.89225,6.054,6.38525,5.3565000000000005,6.2545,6.1605,8.75625,5.39625,8.9305,5.649500000000001,9.43375,6.286,8.545,5.55075,9.816,5.35275,9.93425,6.074000000000001,10.367333333333333,5.63375,10.70575,5.963,11.252,5.956,11.4915,5.346,11.74525,6.505749999999999,11.868,5.46575,11.99625,6.504,11.868,6.42575,11.868,6.1655,11.6745,5.585750000000001,11.868,6.144,11.617,6.22875,11.868,6.316749999999999,11.617,6.217499999999999,11.7425,6.63725,11.42925,B,B,-0.6317374118992531,-1.1749872474112024,3.0,0.0
ADAMTSL2,2,26969391.0,26998993.0,26000000.0,integrin subunit alpha 8,2,12111443.0,12306733.0,12000000.0,64.8965,6.198142857142857,7.571142857142857,7.67,8.11625,7.96025,7.61475,7.579499999999999,7.982,6.7048000000000005,7.4792,5.984,7.39275,5.289,7.553399999999999,5.6595,7.91375,5.5475,7.564249999999999,6.20525,7.529750000000001,6.037,8.016,5.83075,8.3365,5.85025,8.1165,6.06825,7.87025,6.407000000000001,7.928,6.72,7.87,6.8385,8.19775,8.70175,7.9945,7.63775,8.3235,7.419,8.292,7.8965,8.03825,8.275,7.59975,8.37725,8.526,8.423000000000002,8.709,8.64975,8.593250000000001,8.9315,8.53025,8.922,8.46625,9.463666666666668,9.01,8.838750000000001,8.693750000000001,9.38525,8.952,9.72425,8.87025,9.6345,9.15,9.399499999999998,9.11575,8.86975,8.884,8.499666666666668,9.093333333333334,8.6385,9.1115,8.18,8.99475,8.16625,8.848749999999999,8.3855,9.003250000000001,8.2645,9.05475,8.913250000000001,8.9285,8.1955,8.99075,8.941749999999999,8.752,B,B,0.4914874684115479,-0.337030063889265,2.0,4.0
ADAMTSL2,2,26969391.0,26998993.0,26000000.0,Lrp2,2,69254684.0,69416409.0,69000000.0,35.5342,6.198142857142857,3.842142857142857,7.67,5.9485,7.96025,6.0295000000000005,7.579499999999999,5.198,6.7048000000000005,6.0996,5.984,6.114,5.289,6.3652,5.6595,5.69725,5.5475,5.90925,6.20525,4.65225,6.037,6.077,5.83075,6.04175,5.85025,6.066999999999999,6.06825,5.93325,6.407000000000001,6.054,6.72,6.177,6.8385,6.139,8.70175,6.2562500000000005,7.63775,6.013999999999999,7.419,7.94925,7.8965,6.33875,8.275,6.08975,8.37725,6.4875,8.423000000000002,6.2695,8.64975,6.235,8.9315,6.15875,8.922,6.367,9.463666666666668,7.187333333333332,8.838750000000001,5.84225,9.38525,6.52425,9.72425,6.755249999999999,9.6345,6.466,9.399499999999998,6.858750000000001,8.86975,6.707999999999999,8.499666666666668,7.283,8.6385,6.908,8.18,6.88625,8.16625,7.356250000000001,8.3855,7.165,8.2645,7.283749999999999,8.913250000000001,7.7995,8.1955,7.224499999999999,8.941749999999999,7.1515,B,A,0.4914874684115479,0.7842254626047628,2.0,6.0
