Gene1,Gene1_Start,Gene1_End,Gene1_Bin,Gene2,Gene2_Start,Gene2_End,Gene2_Bin,HiC_Interaction,Gene1_Time_-4.5,Gene2_Time_-4.5,Gene1_Time_0.5,Gene2_Time_0.5,Gene1_Time_1.0,Gene2_Time_1.0,Gene1_Time_1.5,Gene2_Time_1.5,Gene1_Time_2.0,Gene2_Time_2.0,Gene1_Time_2.5,Gene2_Time_2.5,Gene1_Time_3.0,Gene2_Time_3.0,Gene1_Time_3.5,Gene2_Time_3.5,Gene1_Time_4.0,Gene2_Time_4.0,Gene1_Time_4.5,Gene2_Time_4.5,Gene1_Time_5.0,Gene2_Time_5.0,Gene1_Time_5.5,Gene2_Time_5.5,Gene1_Time_6.0,Gene2_Time_6.0,Gene1_Time_6.5,Gene2_Time_6.5,Gene1_Time_7.0,Gene2_Time_7.0,Gene1_Time_7.5,Gene2_Time_7.5,Gene1_Time_8.0,Gene2_Time_8.0,Gene1_Time_8.5,Gene2_Time_8.5,Gene1_Time_9.0,Gene2_Time_9.0,Gene1_Time_9.5,Gene2_Time_9.5,Gene1_Time_10.0,Gene2_Time_10.0,Gene1_Time_10.5,Gene2_Time_10.5,Gene1_Time_11.0,Gene2_Time_11.0,Gene1_Time_11.5,Gene2_Time_11.5,Gene1_Time_12.0,Gene2_Time_12.0,Gene1_Time_12.5,Gene2_Time_12.5,Gene1_Time_13.0,Gene2_Time_13.0,Gene1_Time_13.5,Gene2_Time_13.5,Gene1_Time_14.0,Gene2_Time_14.0,Gene1_Time_15.0,Gene2_Time_15.0,Gene1_Time_16.0,Gene2_Time_16.0,Gene1_Time_17.0,Gene2_Time_17.0,Gene1_Time_18.0,Gene2_Time_18.0,Gene1_Time_19.0,Gene2_Time_19.0,Gene1_Time_20.0,Gene2_Time_20.0,Gene1_Time_21.0,Gene2_Time_21.0,Gene1_Time_22.0,Gene2_Time_22.0,Gene1_Time_23.0,Gene2_Time_23.0,Gene1_Time_24.0,Gene2_Time_24.0,Gene1_Time_25.0,Gene2_Time_25.0,Gene1_Time_26.0,Gene2_Time_26.0,Gene1_Time_27.0,Gene2_Time_27.0,Gene1_Time_28.0,Gene2_Time_28.0
ADAMTSL2,26969391.0,26998993.0,26000000.0,ADAMTSL2,26969391.0,26998993.0,26000000.0,2826.3996,6.198142857142857,6.198142857142857,7.67,7.67,7.96025,7.96025,7.5795,7.5795,6.7048000000000005,6.7048000000000005,5.984,5.984,5.289,5.289,5.6595,5.6595,5.5475,5.5475,6.2052499999999995,6.2052499999999995,6.037,6.037,5.83075,5.83075,5.85025,5.85025,6.06825,6.06825,6.407000000000001,6.407000000000001,6.72,6.72,6.8385,6.8385,8.70175,8.70175,7.63775,7.63775,7.419,7.419,7.8965,7.8965,8.275,8.275,8.37725,8.37725,8.423000000000002,8.423000000000002,8.64975,8.64975,8.9315,8.9315,8.922,8.922,9.463666666666668,9.463666666666668,8.838750000000001,8.838750000000001,9.38525,9.38525,9.72425,9.72425,9.6345,9.6345,9.399499999999998,9.399499999999998,8.86975,8.86975,8.499666666666668,8.499666666666668,8.6385,8.6385,8.18,8.18,8.16625,8.16625,8.3855,8.3855,8.2645,8.2645,8.913250000000001,8.913250000000001,8.1955,8.1955,8.941749999999999,8.941749999999999
ADAMTSL2,26969391.0,26998993.0,26000000.0,integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,64.8965,6.198142857142857,7.571142857142857,7.67,8.11625,7.96025,7.61475,7.5795,7.982,6.7048000000000005,7.4792,5.984,7.39275,5.289,7.553399999999999,5.6595,7.91375,5.5475,7.56425,6.2052499999999995,7.529750000000001,6.037,8.016,5.83075,8.3365,5.85025,8.1165,6.06825,7.87025,6.407000000000001,7.928,6.72,7.87,6.8385,8.19775,8.70175,7.9945,7.63775,8.3235,7.419,8.292,7.8965,8.03825,8.275,7.59975,8.37725,8.526,8.423000000000002,8.709,8.64975,8.593250000000001,8.9315,8.53025,8.922,8.46625,9.463666666666668,9.01,8.838750000000001,8.693750000000001,9.38525,8.952,9.72425,8.87025,9.6345,9.15,9.399499999999998,9.11575,8.86975,8.884,8.499666666666668,9.093333333333334,8.6385,9.1115,8.18,8.99475,8.16625,8.848749999999999,8.3855,9.003250000000001,8.2645,9.05475,8.913250000000001,8.9285,8.1955,8.99075,8.941749999999999,8.752
ADAMTSL2,26969391.0,26998993.0,26000000.0,Lrp2,69254684.0,69416409.0,69000000.0,35.5342,6.198142857142857,3.842142857142857,7.67,5.9485,7.96025,6.0295000000000005,7.5795,5.198,6.7048000000000005,6.0996,5.984,6.114,5.289,6.3652,5.6595,5.69725,5.5475,5.90925,6.2052499999999995,4.65225,6.037,6.077,5.83075,6.04175,5.85025,6.066999999999999,6.06825,5.93325,6.407000000000001,6.054,6.72,6.177,6.8385,6.139,8.70175,6.2562500000000005,7.63775,6.013999999999999,7.419,7.94925,7.8965,6.33875,8.275,6.08975,8.37725,6.4875,8.423000000000002,6.2695,8.64975,6.235,8.9315,6.1587499999999995,8.922,6.367,9.463666666666668,7.187333333333332,8.838750000000001,5.84225,9.38525,6.52425,9.72425,6.755249999999999,9.6345,6.466,9.399499999999998,6.858750000000001,8.86975,6.707999999999999,8.499666666666668,7.283,8.6385,6.9079999999999995,8.18,6.88625,8.16625,7.356250000000001,8.3855,7.165,8.2645,7.28375,8.913250000000001,7.7995,8.1955,7.224499999999999,8.941749999999999,7.1515
ADAMTSL2,26969391.0,26998993.0,26000000.0,TTF-1,28950274.0,28977668.0,28000000.0,290.5467,6.198142857142857,6.394285714285715,7.67,5.267,7.96025,6.3495,7.5795,5.4079999999999995,6.7048000000000005,6.0388,5.984,5.789,5.289,5.150799999999999,5.6595,5.64275,5.5475,5.93025,6.2052499999999995,5.489999999999999,6.037,5.91025,5.83075,5.407,5.85025,5.57175,6.06825,5.835,6.407000000000001,5.6372,6.72,5.3405000000000005,6.8385,5.70825,8.70175,6.0765,7.63775,6.0120000000000005,7.419,5.77825,7.8965,5.51475,8.275,5.9185,8.37725,6.184,8.423000000000002,6.04,8.64975,5.9495,8.9315,6.154999999999999,8.922,6.244000000000001,9.463666666666668,6.3823333333333325,8.838750000000001,5.9632499999999995,9.38525,6.225,9.72425,5.724,9.6345,6.5142500000000005,9.399499999999998,6.454750000000001,8.86975,6.4475,8.499666666666668,6.529333333333334,8.6385,6.3469999999999995,8.18,6.3525,8.16625,6.06725,8.3855,6.401999999999999,8.2645,6.208,8.913250000000001,6.335,8.1955,6.15475,8.941749999999999,6.425
ADAMTSL2,26969391.0,26998993.0,26000000.0,VIM,13578738.0,13587637.0,13000000.0,54.2987,6.198142857142857,10.802857142857144,7.67,10.42825,7.96025,10.44725,7.5795,10.6445,6.7048000000000005,10.5414,5.984,10.6905,5.289,10.083,5.6595,10.27175,5.5475,10.931,6.2052499999999995,11.549,6.037,10.532,5.83075,10.5825,5.85025,11.22025,6.06825,11.1265,6.407000000000001,11.016,6.72,10.487,6.8385,10.6075,8.70175,10.48025,7.63775,10.3935,7.419,9.61975,7.8965,10.43,8.275,10.8245,8.37725,10.99375,8.423000000000002,11.06175,8.64975,11.366,8.9315,11.366,8.922,10.88975,9.463666666666668,11.051,8.838750000000001,11.0465,9.38525,10.501,9.72425,10.6885,9.6345,10.887,9.399499999999998,10.9905,8.86975,10.89225,8.499666666666668,10.694,8.6385,10.8045,8.18,10.6755,8.16625,10.794,8.3855,10.74075,8.2645,10.9105,8.913250000000001,10.8175,8.1955,10.8975,8.941749999999999,10.92575
integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,ADAMTSL2,26969391.0,26998993.0,26000000.0,64.8965,7.571142857142857,6.198142857142857,8.11625,7.67,7.61475,7.96025,7.982,7.5795,7.4792,6.7048000000000005,7.39275,5.984,7.553399999999999,5.289,7.91375,5.6595,7.56425,5.5475,7.529750000000001,6.2052499999999995,8.016,6.037,8.3365,5.83075,8.1165,5.85025,7.87025,6.06825,7.928,6.407000000000001,7.87,6.72,8.19775,6.8385,7.9945,8.70175,8.3235,7.63775,8.292,7.419,8.03825,7.8965,7.59975,8.275,8.526,8.37725,8.709,8.423000000000002,8.593250000000001,8.64975,8.53025,8.9315,8.46625,8.922,9.01,9.463666666666668,8.693750000000001,8.838750000000001,8.952,9.38525,8.87025,9.72425,9.15,9.6345,9.11575,9.399499999999998,8.884,8.86975,9.093333333333334,8.499666666666668,9.1115,8.6385,8.99475,8.18,8.848749999999999,8.16625,9.003250000000001,8.3855,9.05475,8.2645,8.9285,8.913250000000001,8.99075,8.1955,8.752,8.941749999999999
integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,2689.6517,7.571142857142857,7.571142857142857,8.11625,8.11625,7.61475,7.61475,7.982,7.982,7.4792,7.4792,7.39275,7.39275,7.553399999999999,7.553399999999999,7.91375,7.91375,7.56425,7.56425,7.529750000000001,7.529750000000001,8.016,8.016,8.3365,8.3365,8.1165,8.1165,7.87025,7.87025,7.928,7.928,7.87,7.87,8.19775,8.19775,7.9945,7.9945,8.3235,8.3235,8.292,8.292,8.03825,8.03825,7.59975,7.59975,8.526,8.526,8.709,8.709,8.593250000000001,8.593250000000001,8.53025,8.53025,8.46625,8.46625,9.01,9.01,8.693750000000001,8.693750000000001,8.952,8.952,8.87025,8.87025,9.15,9.15,9.11575,9.11575,8.884,8.884,9.093333333333334,9.093333333333334,9.1115,9.1115,8.99475,8.99475,8.848749999999999,8.848749999999999,9.003250000000001,9.003250000000001,9.05475,9.05475,8.9285,8.9285,8.99075,8.99075,8.752,8.752
integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,Lrp2,69254684.0,69416409.0,69000000.0,24.8162,7.571142857142857,3.842142857142857,8.11625,5.9485,7.61475,6.0295000000000005,7.982,5.198,7.4792,6.0996,7.39275,6.114,7.553399999999999,6.3652,7.91375,5.69725,7.56425,5.90925,7.529750000000001,4.65225,8.016,6.077,8.3365,6.04175,8.1165,6.066999999999999,7.87025,5.93325,7.928,6.054,7.87,6.177,8.19775,6.139,7.9945,6.2562500000000005,8.3235,6.013999999999999,8.292,7.94925,8.03825,6.33875,7.59975,6.08975,8.526,6.4875,8.709,6.2695,8.593250000000001,6.235,8.53025,6.1587499999999995,8.46625,6.367,9.01,7.187333333333332,8.693750000000001,5.84225,8.952,6.52425,8.87025,6.755249999999999,9.15,6.466,9.11575,6.858750000000001,8.884,6.707999999999999,9.093333333333334,7.283,9.1115,6.9079999999999995,8.99475,6.88625,8.848749999999999,7.356250000000001,9.003250000000001,7.165,9.05475,7.28375,8.9285,7.7995,8.99075,7.224499999999999,8.752,7.1515
integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,TTF-1,28950274.0,28977668.0,28000000.0,45.1018,7.571142857142857,6.394285714285715,8.11625,5.267,7.61475,6.3495,7.982,5.4079999999999995,7.4792,6.0388,7.39275,5.789,7.553399999999999,5.150799999999999,7.91375,5.64275,7.56425,5.93025,7.529750000000001,5.489999999999999,8.016,5.91025,8.3365,5.407,8.1165,5.57175,7.87025,5.835,7.928,5.6372,7.87,5.3405000000000005,8.19775,5.70825,7.9945,6.0765,8.3235,6.0120000000000005,8.292,5.77825,8.03825,5.51475,7.59975,5.9185,8.526,6.184,8.709,6.04,8.593250000000001,5.9495,8.53025,6.154999999999999,8.46625,6.244000000000001,9.01,6.3823333333333325,8.693750000000001,5.9632499999999995,8.952,6.225,8.87025,5.724,9.15,6.5142500000000005,9.11575,6.454750000000001,8.884,6.4475,9.093333333333334,6.529333333333334,9.1115,6.3469999999999995,8.99475,6.3525,8.848749999999999,6.06725,9.003250000000001,6.401999999999999,9.05475,6.208,8.9285,6.335,8.99075,6.15475,8.752,6.425
integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,VIM,13578738.0,13587637.0,13000000.0,621.5139,7.571142857142857,10.802857142857144,8.11625,10.42825,7.61475,10.44725,7.982,10.6445,7.4792,10.5414,7.39275,10.6905,7.553399999999999,10.083,7.91375,10.27175,7.56425,10.931,7.529750000000001,11.549,8.016,10.532,8.3365,10.5825,8.1165,11.22025,7.87025,11.1265,7.928,11.016,7.87,10.487,8.19775,10.6075,7.9945,10.48025,8.3235,10.3935,8.292,9.61975,8.03825,10.43,7.59975,10.8245,8.526,10.99375,8.709,11.06175,8.593250000000001,11.366,8.53025,11.366,8.46625,10.88975,9.01,11.051,8.693750000000001,11.0465,8.952,10.501,8.87025,10.6885,9.15,10.887,9.11575,10.9905,8.884,10.89225,9.093333333333334,10.694,9.1115,10.8045,8.99475,10.6755,8.848749999999999,10.794,9.003250000000001,10.74075,9.05475,10.9105,8.9285,10.8175,8.99075,10.8975,8.752,10.92575
Lrp2,69254684.0,69416409.0,69000000.0,ADAMTSL2,26969391.0,26998993.0,26000000.0,35.5342,3.842142857142857,6.198142857142857,5.9485,7.67,6.0295000000000005,7.96025,5.198,7.5795,6.0996,6.7048000000000005,6.114,5.984,6.3652,5.289,5.69725,5.6595,5.90925,5.5475,4.65225,6.2052499999999995,6.077,6.037,6.04175,5.83075,6.066999999999999,5.85025,5.93325,6.06825,6.054,6.407000000000001,6.177,6.72,6.139,6.8385,6.2562500000000005,8.70175,6.013999999999999,7.63775,7.94925,7.419,6.33875,7.8965,6.08975,8.275,6.4875,8.37725,6.2695,8.423000000000002,6.235,8.64975,6.1587499999999995,8.9315,6.367,8.922,7.187333333333332,9.463666666666668,5.84225,8.838750000000001,6.52425,9.38525,6.755249999999999,9.72425,6.466,9.6345,6.858750000000001,9.399499999999998,6.707999999999999,8.86975,7.283,8.499666666666668,6.9079999999999995,8.6385,6.88625,8.18,7.356250000000001,8.16625,7.165,8.3855,7.28375,8.2645,7.7995,8.913250000000001,7.224499999999999,8.1955,7.1515,8.941749999999999
Lrp2,69254684.0,69416409.0,69000000.0,integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,24.8162,3.842142857142857,7.571142857142857,5.9485,8.11625,6.0295000000000005,7.61475,5.198,7.982,6.0996,7.4792,6.114,7.39275,6.3652,7.553399999999999,5.69725,7.91375,5.90925,7.56425,4.65225,7.529750000000001,6.077,8.016,6.04175,8.3365,6.066999999999999,8.1165,5.93325,7.87025,6.054,7.928,6.177,7.87,6.139,8.19775,6.2562500000000005,7.9945,6.013999999999999,8.3235,7.94925,8.292,6.33875,8.03825,6.08975,7.59975,6.4875,8.526,6.2695,8.709,6.235,8.593250000000001,6.1587499999999995,8.53025,6.367,8.46625,7.187333333333332,9.01,5.84225,8.693750000000001,6.52425,8.952,6.755249999999999,8.87025,6.466,9.15,6.858750000000001,9.11575,6.707999999999999,8.884,7.283,9.093333333333334,6.9079999999999995,9.1115,6.88625,8.99475,7.356250000000001,8.848749999999999,7.165,9.003250000000001,7.28375,9.05475,7.7995,8.9285,7.224499999999999,8.99075,7.1515,8.752
Lrp2,69254684.0,69416409.0,69000000.0,Lrp2,69254684.0,69416409.0,69000000.0,2920.8241,3.842142857142857,3.842142857142857,5.9485,5.9485,6.0295000000000005,6.0295000000000005,5.198,5.198,6.0996,6.0996,6.114,6.114,6.3652,6.3652,5.69725,5.69725,5.90925,5.90925,4.65225,4.65225,6.077,6.077,6.04175,6.04175,6.066999999999999,6.066999999999999,5.93325,5.93325,6.054,6.054,6.177,6.177,6.139,6.139,6.2562500000000005,6.2562500000000005,6.013999999999999,6.013999999999999,7.94925,7.94925,6.33875,6.33875,6.08975,6.08975,6.4875,6.4875,6.2695,6.2695,6.235,6.235,6.1587499999999995,6.1587499999999995,6.367,6.367,7.187333333333332,7.187333333333332,5.84225,5.84225,6.52425,6.52425,6.755249999999999,6.755249999999999,6.466,6.466,6.858750000000001,6.858750000000001,6.707999999999999,6.707999999999999,7.283,7.283,6.9079999999999995,6.9079999999999995,6.88625,6.88625,7.356250000000001,7.356250000000001,7.165,7.165,7.28375,7.28375,7.7995,7.7995,7.224499999999999,7.224499999999999,7.1515,7.1515
Lrp2,69254684.0,69416409.0,69000000.0,TTF-1,28950274.0,28977668.0,28000000.0,32.6818,3.842142857142857,6.394285714285715,5.9485,5.267,6.0295000000000005,6.3495,5.198,5.4079999999999995,6.0996,6.0388,6.114,5.789,6.3652,5.150799999999999,5.69725,5.64275,5.90925,5.93025,4.65225,5.489999999999999,6.077,5.91025,6.04175,5.407,6.066999999999999,5.57175,5.93325,5.835,6.054,5.6372,6.177,5.3405000000000005,6.139,5.70825,6.2562500000000005,6.0765,6.013999999999999,6.0120000000000005,7.94925,5.77825,6.33875,5.51475,6.08975,5.9185,6.4875,6.184,6.2695,6.04,6.235,5.9495,6.1587499999999995,6.154999999999999,6.367,6.244000000000001,7.187333333333332,6.3823333333333325,5.84225,5.9632499999999995,6.52425,6.225,6.755249999999999,5.724,6.466,6.5142500000000005,6.858750000000001,6.454750000000001,6.707999999999999,6.4475,7.283,6.529333333333334,6.9079999999999995,6.3469999999999995,6.88625,6.3525,7.356250000000001,6.06725,7.165,6.401999999999999,7.28375,6.208,7.7995,6.335,7.224499999999999,6.15475,7.1515,6.425
Lrp2,69254684.0,69416409.0,69000000.0,VIM,13578738.0,13587637.0,13000000.0,27.4005,3.842142857142857,10.802857142857144,5.9485,10.42825,6.0295000000000005,10.44725,5.198,10.6445,6.0996,10.5414,6.114,10.6905,6.3652,10.083,5.69725,10.27175,5.90925,10.931,4.65225,11.549,6.077,10.532,6.04175,10.5825,6.066999999999999,11.22025,5.93325,11.1265,6.054,11.016,6.177,10.487,6.139,10.6075,6.2562500000000005,10.48025,6.013999999999999,10.3935,7.94925,9.61975,6.33875,10.43,6.08975,10.8245,6.4875,10.99375,6.2695,11.06175,6.235,11.366,6.1587499999999995,11.366,6.367,10.88975,7.187333333333332,11.051,5.84225,11.0465,6.52425,10.501,6.755249999999999,10.6885,6.466,10.887,6.858750000000001,10.9905,6.707999999999999,10.89225,7.283,10.694,6.9079999999999995,10.8045,6.88625,10.6755,7.356250000000001,10.794,7.165,10.74075,7.28375,10.9105,7.7995,10.8175,7.224499999999999,10.8975,7.1515,10.92575
TTF-1,28950274.0,28977668.0,28000000.0,ADAMTSL2,26969391.0,26998993.0,26000000.0,290.5467,6.394285714285715,6.198142857142857,5.267,7.67,6.3495,7.96025,5.4079999999999995,7.5795,6.0388,6.7048000000000005,5.789,5.984,5.150799999999999,5.289,5.64275,5.6595,5.93025,5.5475,5.489999999999999,6.2052499999999995,5.91025,6.037,5.407,5.83075,5.57175,5.85025,5.835,6.06825,5.6372,6.407000000000001,5.3405000000000005,6.72,5.70825,6.8385,6.0765,8.70175,6.0120000000000005,7.63775,5.77825,7.419,5.51475,7.8965,5.9185,8.275,6.184,8.37725,6.04,8.423000000000002,5.9495,8.64975,6.154999999999999,8.9315,6.244000000000001,8.922,6.3823333333333325,9.463666666666668,5.9632499999999995,8.838750000000001,6.225,9.38525,5.724,9.72425,6.5142500000000005,9.6345,6.454750000000001,9.399499999999998,6.4475,8.86975,6.529333333333334,8.499666666666668,6.3469999999999995,8.6385,6.3525,8.18,6.06725,8.16625,6.401999999999999,8.3855,6.208,8.2645,6.335,8.913250000000001,6.15475,8.1955,6.425,8.941749999999999
TTF-1,28950274.0,28977668.0,28000000.0,integrin subunit alpha 8,12111443.0,12306733.0,12000000.0,45.1018,6.394285714285715,7.571142857142857,5.267,8.11625,6.3495,7.61475,5.4079999999999995,7.982,6.0388,7.4792,5.789,7.39275,5.150799999999999,7.553399999999999,5.64275,7.91375,5.93025,7.56425,5.489999999999999,7.529750000000001,5.91025,8.016,5.407,8.3365,5.57175,8.1165,5.835,7.87025,5.6372,7.928,5.3405000000000005,7.87,5.70825,8.19775,6.0765,7.9945,6.0120000000000005,8.3235,5.77825,8.292,5.51475,8.03825,5.9185,7.59975,6.184,8.526,6.04,8.709,5.9495,8.593250000000001,6.154999999999999,8.53025,6.244000000000001,8.46625,6.3823333333333325,9.01,5.9632499999999995,8.693750000000001,6.225,8.952,5.724,8.87025,6.5142500000000005,9.15,6.454750000000001,9.11575,6.4475,8.884,6.529333333333334,9.093333333333334,6.3469999999999995,9.1115,6.3525,8.99475,6.06725,8.848749999999999,6.401999999999999,9.003250000000001,6.208,9.05475,6.335,8.9285,6.15475,8.99075,6.425,8.752
